site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3m3,NPP.gC.m2.d,qmax.gC.m2,pH_CaCl2,BD.mg.cm3,depth
NSW003390,151.470835,-30.598383,2552.79377409,2013.5347887,539.25898539,14.6,0.25,1.04,8604.15455730595,4.92107055,1476.95954,0.3
NSW003393,151.472965,-30.600221,2635.88806818,2040.8801301,595.00793808,14.6,0.25,0.83,8622.12726893815,4.9100831,1460.38542,0.3
QLDC000606,151.477577,-27.318903,3236.97304237,2483.8317527,753.14128967,21.8,0.31,1.56,6386.10254936323,6.6750926,1237.7871,0.3
NSW003242,151.478251,-30.703641,3003.2812515,1758.1559562,1245.1252953,14.6,0.25,1.61,9184.35954694434,5.13409902,1421.62274,0.3
QLDC000672,151.481713,-27.001342,4382.67015898,3788.1131487,594.55701028,21.3,0.2,1.46,8852.18314228846,5.7943785,1324.92599,0.3
QLDC000666,151.484132,-27.052632,3509.78148453,2857.6854595,652.09602503,21.3,0.2,1.24,8648.25158780087,5.4069616,1435.75729,0.3
QLDC000657,151.492518,-27.129265,3069.312234,1967.8944256,1101.4178084,21.3,0.2,1.33,8759.1273795717,5.82776828,1403.48538,0.3
QLDC000615,151.493865,-26.924512,3597.25947881,2946.6543866,650.60509221,20,0.26,1.27,8704.62376940329,5.47495888,1373.14742,0.3
NSW003236,151.49649,-30.819291,3615.306668,1906.1966049,1709.1100631,13.6,0.31,1.32,9157.39575785854,5.04806951,1447.54306,0.3
NSW000989,151.498813,-30.735052,4332.14521358,3441.2008449,890.94436868,14.6,0.25,1.44,9121.52027618476,4.95775199,1450.06724,0.3
NSW000892,151.499774,-30.736381,3900.80732152,3171.9735732,728.83374832,14.6,0.25,1.41,9138.81107093199,5.05876302,1450.0017,0.3
QLDC000242,151.505823,-27.855142,3225.95596185,2953.1048733,272.85108855,19.8,0.22,1.43,6411.47464272401,7.24822021,1192.78385,0.3
NSW003053,151.516646,-30.829439,3746.9486394,2829.7497798,917.1988596,13.6,0.31,1.38,9188.86203659183,5.03603473,1474.93202,0.3
NSW003230,151.517995,-30.989584,3873.0859471,2561.7959901,1311.289957,13.6,0.31,1.41,9170.10114251377,5.11318268,1410.40834,0.3
NSW003104,151.521617,-30.989698,3923.8652674,2135.5409706,1788.3242968,13.6,0.31,1.19,9191.08595354496,5.11095694,1395.50709,0.3
GA831,151.52666,-27.87285,5011.34659163,4226.915658,784.43093363,19.8,0.22,1.15,6404.10265068898,6.54048481,1294.32382,0.3
NSW003050,151.526668,-30.84813,3934.3502684,2655.9928235,1278.3574449,13.6,0.31,1.32,9183.60427606503,5.23850308,1438.48107,0.3
NSW003344,151.530536,-30.343102,2833.45291333,1908.4524664,925.00044693,15,0.21,1.22,9043.23600915584,4.87887849,1467.65639,0.3
NSW003317,151.532114,-30.343319,3044.9783001,1840.9630569,1204.0152432,15,0.21,1.25,9084.13305291622,4.8922372,1479.62242,0.3
NSW003065,151.536752,-30.02304,5448.6788959,4353.502947,1095.1759489,13.8,0.34,1.71,9175.54458484678,5.10394916,1346.48541,0.3
NSW003191,151.537345,-30.022893,5323.04135628,4505.7813879,817.25996838,13.8,0.34,1.71,9175.54458484678,5.10394916,1346.48541,0.3
NSW003305,151.542843,-30.387262,2577.29244985,1678.1003752,899.19207465,15,0.21,1.49,9095.27866765842,4.96323838,1464.66752,0.3
NSW003329,151.543725,-30.309469,2892.6308185,1715.0321945,1177.598624,13.8,0.25,1.42,9124.7119344856,4.89799575,1454.79945,0.3
NSW003182,151.549684,-30.867579,3760.7578756,2668.0734023,1092.6844733,13.6,0.31,1.47,9145.29472784821,5.14745472,1394.35612,0.3
NSW003612,151.553035,-30.349552,2798.76244872,1911.0652688,887.69717992,15,0.21,1.34,9072.67444769742,4.88702536,1449.71056,0.3
NSW003736,151.556362,-30.39149,2751.59037701,1845.945799,905.64457801,15,0.21,1.57,8873.33126526847,4.87697242,1481.81589,0.3
NSW003396,151.560438,-30.374699,2367.32032082,1606.2330192,761.08730162,15,0.21,1.03,8984.48137841049,5.02580562,1461.72672,0.3
NSW003609,151.562549,-30.373378,2487.62764769,1907.1423955,580.48525219,15,0.21,0.88,9151.60470122531,5.0515868,1443.11149,0.3
QLDC000269,151.567247,-27.816233,3503.04766375,2976.5836076,526.46405615,21.4,0.32,1.19,6406.83819778129,6.68942527,1317.57146,0.3
NSW003227,151.607342,-30.711108,3456.5341314,1900.4708022,1556.0633292,14.4,0.24,1.61,9146.79379755244,5.09472229,1452.20598,0.3
NSW003059,151.60878,-30.717132,3356.9799828,2298.3999417,1058.5800411,14.4,0.24,1.67,9124.31854861216,5.06188774,1415.18248,0.3
QLDC000233,151.611546,-27.415128,3573.01347097,3056.1860039,516.82746707,21.3,0.32,1.13,6396.80868925717,6.48928057,1278.17192,0.3
QLDC001444,151.613361,-26.624028,3869.30069591,3350.5615026,518.73919331,20,0.31,1.31,11208.4551252548,5.52892248,1391.17023,0.3
QLDC001438,151.649833,-26.677056,4393.21382518,3811.581838,581.63198718,20,0.31,1.22,11309.0109204138,5.51759645,1331.27829,0.3
NSW003356,151.652359,-30.42526,2362.86336364,1662.4713001,700.39206354,14.2,0.25,0.97,9025.97935437608,4.86051332,1465.2902,0.3
DECCW1417,151.659928,-30.724762,3500.93646003,2704.0798744,796.85658563,14.4,0.24,1.19,9145.31405482416,5.18584918,1457.34021,0.3
DECCW1581,151.660817,-30.718627,3286.3309889,2093.708741,1192.6222479,14.4,0.24,1.33,9151.37638626311,5.09394426,1417.77975,0.3
DECCW1577,151.663054,-30.720013,3899.8610459,2772.860346,1127.0006999,14.4,0.24,0.96,9096.3785480411,4.97220403,1409.16746,0.3
QLDC000642,151.67163,-27.403365,2932.17147082,2495.73899,436.43248082,21.3,0.32,1.83,8965.27341951966,6.46503589,1294.50325,0.3
DECCW0549,151.674392,-30.728637,3731.29845035,2976.8571446,754.44130575,14.4,0.24,1.43,9138.04358304697,5.11700527,1434.90371,0.3
DECCW1565,151.683219,-30.882513,3818.0672841,2630.5886896,1187.4785945,13.5,0.31,0.82,9143.63284331024,5.00723417,1438.05984,0.3
DECCW1569,151.684454,-30.880956,3539.275097,2185.3912832,1353.8838138,13.5,0.31,0.74,9172.73626149549,5.00538793,1460.53167,0.3
DECCW1405,151.684504,-30.875777,3886.1600339,2580.2812291,1305.8788048,13.5,0.31,1.04,9189.19472489448,5.09956049,1434.72273,0.3
GA1128,151.69153,-24.13502,3399.85085534,2668.425284,731.42557134,22.6,0.26,0.83,8169.26266414017,4.82310753,1485.82454,0.3
GA778,151.69221,-24.1356,3230.80573595,2517.3108885,713.49484745,22.6,0.26,0.83,7758.49521475028,4.7663892,1483.17653,0.3
DECCW1413,151.710357,-30.950192,3915.6238974,2794.5781369,1121.0457605,13.5,0.31,1.54,8704.28309028277,5.17933385,1475.42998,0.3
DECCW1409,151.726643,-30.942522,3825.1231779,2695.1495499,1129.973628,13.5,0.31,1.13,9115.32621544163,5.12538487,1440.22007,0.3
DECCW1573,151.728141,-30.943204,4057.0653056,2854.8716992,1202.1936064,13.5,0.31,1.13,9132.26993960796,5.06063627,1460.39385,0.3
QLDC001471,151.757111,-26.2915,4670.62489509,4079.9696504,590.65524469,20.3,0.26,1.61,11045.4032071474,5.98169314,1340.98882,0.3
QLDC001468,151.770111,-26.299278,4545.82269174,3919.8763131,625.94637864,20.3,0.26,1.39,10885.7690019945,5.88603658,1327.12993,0.3
Qld1318,151.77086,-27.53107,4078.19265793,3520.853151,557.33950693,21.3,0.32,1.34,6387.67928781209,6.6192606,1256.00998,0.3
NSW003071,151.777264,-30.032606,4764.84531481,3832.9781134,931.86720141,12.7,0.38,1.81,10647.2019217116,4.91326664,1340.06578,0.3
