site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3m3,NPP.gC.m2.d,qmax.gC.m2,pH_CaCl2,BD.mg.cm3,depth
GA_bot691,113.809,-24.819,2017.07875005,1688.64192,328.43683005,26.4,0.13,0.76,6383.97386923422,5.49081857,1532.81261,0.3
GA_bot655,113.811,-24.818,2086.2882455,1737.5676187,348.7206268,26.4,0.13,0.68,6602.96704162632,5.57210202,1523.6589,0.3
GA_bot707,113.845,-24.64,1681.50127096,1514.4439313,167.05733966,26.4,0.12,0.52,8127.62648879863,5.88113423,1508.76074,0.3
GA_bot311,113.89796,-23.70675,3342.0530215,2622.3328731,719.7201484,28.6,0.12,0.31,4964.76712179135,5.3659747,1471.33779,0.3
GA_bot289,113.9212,-23.29272,1932.86204903,1633.5084247,299.35362433,28.4,0.12,0.45,4742.94920207905,5.51744151,1513.13181,0.3
GA_bot288,113.97134,-25.05919,1953.02224771,1655.2467581,297.77548961,27,0.1,0.32,6318.2559849454,5.76169219,1504.91352,0.3
GA_bot640,113.986,-23.631,1721.27154185,1546.7675302,174.50401165,28.6,0.12,0.33,7046.17544696699,6.15113941,1508.11536,0.3
GA_bot137,113.9952,-23.89166,1797.59783537,1553.4069058,244.19092957,28.5,0.12,0.59,6191.40016625844,5.33180275,1527.16816,0.3
GA_bot344,114.01398,-24.51815,1748.70360694,1468.5380936,280.16551334,27.4,0.12,0.43,8235.3159896566,6.07869341,1481.31893,0.3
GA_bot534,114.051,-22.386,2384.64922702,1943.2075612,441.44166582,27.6,0.09,0.35,4292.70035031585,5.57935687,1479.71373,0.3
GA_bot309,114.10419,-22.59575,5146.6356816,3005.8706178,2140.7650638,29.4,0.12,0.61,3235.34289309949,5.54315124,1376.01432,0.3
GA1109,114.12356,-25.3114,2018.86738802,1662.9350946,355.93229342,27.4,0.1,0.3,7294.88545975511,5.65263425,1526.05415,0.3
GA_bot227,114.13693,-27.39515,3159.83358281,2690.7326942,469.10088861,24.6,0.13,0.96,6464.95081516714,5.67128067,1450.94254,0.3
GA_bot338,114.1635,-26.45462,2343.52009049,2009.3450791,334.17501139,26.4,0.13,0.34,2846.24016669837,5.70407073,1506.4275,0.3
GA_bot572,114.202,-25.753,1394.94822128,1123.9899406,270.95828068,26.7,0.12,0.21,5911.10958112482,5.64144135,1534.36884,0.3
GA_bot181,114.24884,-27.62995,3539.340106,2811.2476405,728.0924655,23.8,0.08,0.5,4710.49926473356,5.42829793,1481.88727,0.3
GA938,114.2953,-25.74173,1663.16495191,1450.647607,212.51734491,26.7,0.12,0.46,6460.01738959892,5.62032454,1549.65419,0.3
GA_bot226,114.31595,-25.99629,1722.39490355,1505.0784892,217.31641435,27.4,0.09,0.32,4905.64391697157,5.83933374,1489.55633,0.3
GA1026,114.32009,-28.21163,2889.99600067,2244.9526328,645.04336787,22.7,0.09,1.04,4756.89975720594,5.34430224,1502.05901,0.3
GA915,114.34874,-22.71362,2528.72484141,2069.5467055,459.17813591,28.7,0.15,0.42,2624.03656113731,5.54852464,1483.03257,0.3
GA_bot221,114.39051,-23.75395,1580.12700955,1389.973569,190.15344055,28.9,0.09,0.23,7404.72281472137,5.72178062,1519.81985,0.3
GA_bot374,114.67137,-26.70895,1500.00048238,1163.8462426,336.15423978,26.1,0.14,0.48,4189.0232741352,5.25438426,1506.88326,0.3
GA_bot94,114.6715,-26.70798,1688.8294372,1385.6433856,303.1860516,26.1,0.14,0.46,3721.35811811547,5.21674656,1528.73313,0.3
GA_bot552,114.723,-28.768,2630.97544381,2229.7009728,401.27447101,22.5,0.09,1.26,3185.28490210136,5.48649122,1452.414,0.3
GA_bot504,114.785,-22.205,1604.32798076,1322.3902807,281.93770006,30.4,0.13,0.24,3826.64624291758,5.33043146,1487.8168,0.3
GA_bot192,114.80659,-24.95761,1693.55241029,1468.2111287,225.34128159,28.3,0.11,0.25,5796.45218010755,5.43886824,1555.3129,0.3
GA_bot148,114.82575,-28.83651,4429.5129663,3284.5286635,1144.9843028,22.5,0.12,1.64,5342.56759608384,5.28942111,1295.13931,0.3
GA_bot1,114.89764,-22.70173,1768.73322882,1504.940539,263.79268982,29.2,0.15,0.43,4537.0469133252,5.3862277,1508.22847,0.3
GA_bot113,114.89805,-22.7004,1704.56423227,1445.0121172,259.55211507,29.2,0.15,0.38,3886.87819042946,5.38200071,1504.50207,0.3
GA_bot347,115.03318,-21.97988,1560.97824791,1403.8557508,157.12249711,30.3,0.13,0.59,5206.75663334925,5.65748407,1531.99715,0.3
GA1045,115.12369,-25.74159,1456.57021482,1228.536341,228.03387382,28.1,0.1,0.17,4650.63377095152,5.60790958,1559.32025,0.3
SCWA3180,115.13687,-29.16851,1261.30418375,877.49439231,383.80979144,22.3,0.09,1.57,3280.16489624827,5.43038758,1469.21361,0.3
SCWA3177,115.14762,-29.17092,1365.52501917,947.75420251,417.77081666,22.3,0.09,1.59,3374.2322433783,5.37321334,1467.0123,0.3
SCWA2847,115.15484,-29.18669,1244.38591654,924.31517578,320.07074076,22.3,0.09,1.13,3385.11947092405,5.51520698,1462.9637,0.3
SCWA3123,115.15749,-29.16675,1433.12731634,1078.1622399,354.96507644,22.3,0.09,1.47,3087.77634041361,5.40484567,1480.14091,0.3
SCWA2844,115.16295,-29.18682,1180.57657061,818.03138067,362.54518994,22.3,0.09,1.5,3699.72996021407,5.3911787,1443.26745,0.3
GA849,115.16593,-29.27852,2735.85313525,2041.7114409,694.14169435,22.8,0.09,1.35,3021.85934609993,5.45421087,1484.59822,0.3
SCWA2850,115.16992,-29.19577,1437.07150632,1016.4964289,420.57507742,22.8,0.09,1.37,3514.85864920301,5.4126513,1457.68785,0.3
SCWA3120,115.17199,-29.181,1143.841619,761.95109425,381.89052475,22.3,0.09,1.4,3183.04974978543,5.3379963,1498.89274,0.3
SCWA3114,115.17552,-29.19938,1190.63834751,794.18234656,396.45600095,22.8,0.09,1.22,4044.28302697385,5.56995755,1479.12519,0.3
SCWA3117,115.17766,-29.18845,1342.02912435,1021.9664346,320.06268975,22.3,0.09,1.49,3764.34550848497,5.47430557,1456.2389,0.3
GA_bot236,115.18356,-34.16184,6595.0541189,4334.1830026,2260.8711163,17.2,0.16,0.83,4249.31438815096,4.73532077,1275.44387,0.3
SCWA1365,115.21464,-33.69891,5324.6130027,3636.7560591,1687.8569436,17.3,0.19,2.3,5894.19817540693,5.10152658,1319.39122,0.3
SCWA1362,115.21658,-33.69727,5414.9979856,3334.7383194,2080.2596662,17.3,0.19,2.46,5244.40337953304,5.09282519,1332.50511,0.3
GA_bot22,115.2171,-27.53301,1522.24106812,1265.344444,256.89662412,25.1,0.1,0.16,5866.2725708634,5.70035546,1583.54828,0.3
GA950,115.21788,-27.5315,1533.13175983,1248.3826962,284.74906363,25.1,0.1,0.16,6610.82545797668,5.67210954,1597.65154,0.3
SCWA1383,115.21825,-33.67668,4469.9223094,2858.828389,1611.0939204,18.6,0.24,2.07,5589.13400152973,5.09261879,1308.71091,0.3
SCWA1386,115.22044,-33.68169,4683.0291638,3265.0532205,1417.9759433,18.6,0.24,2.52,5589.534188522,5.11554832,1266.7856,0.3
SCWA1356,115.22168,-33.70214,5830.9355255,3671.973829,2158.9616965,17.3,0.19,2.34,5760.18226611585,4.99108792,1319.4194,0.3
SCWA1266,115.22318,-33.7274,6399.2466295,3711.8143642,2687.4322653,17.3,0.19,2.33,5472.21338913423,5.01216447,1283.43496,0.3
SCWA1359,115.22416,-33.70027,5061.6760373,3586.8169718,1474.8590655,17.3,0.19,2.35,5550.43379584177,4.97229452,1330.38451,0.3
SCWA1170,115.22434,-33.7231,6677.913172,4101.2765041,2576.6366679,17.3,0.19,2.16,5366.43703246477,5.07429796,1293.38244,0.3
SCWA1485,115.22469,-33.67773,4574.2604321,2955.374059,1618.8863731,18.6,0.24,1.5,4716.16168202729,5.16525861,1279.34082,0.3
SCWA1377,115.22493,-33.68418,5830.1183236,3857.4795094,1972.6388142,18.6,0.24,2.52,5956.63286303053,5.09413839,1284.6553,0.3
SCWA1263,115.22574,-33.72102,5905.309028,3649.2073852,2256.1016428,17.3,0.19,1.67,5520.03046272415,5.05850204,1294.75319,0.3
SCWA1491,115.22717,-33.68312,5251.8385379,3471.4133491,1780.4251888,18.6,0.24,2.11,5162.84007857752,5.13859703,1294.40671,0.3
SCWA1488,115.2289,-33.68483,5500.5531802,3450.2860459,2050.2671343,18.6,0.24,2.2,4929.83361830554,5.15635381,1301.12282,0.3
SCWA1494,115.22899,-33.67714,5458.5163944,3290.6222656,2167.8941288,18.6,0.24,1.79,5639.37954002378,5.18131483,1282.38028,0.3
SCWA3390,115.23036,-29.16236,994.92960893,664.74171823,330.1878907,22.2,0.09,1.3,3378.74958417843,5.46675202,1516.63679,0.3
SCWA1206,115.23096,-33.72125,6277.4535188,3622.3030899,2655.1504289,17.3,0.19,0.78,4643.1689660245,5.03990206,1283.21133,0.3
SCWA2793,115.23316,-29.16781,1343.39524212,1021.0942507,322.30099142,22.2,0.09,1.6,3022.10986741009,5.2974779,1513.91189,0.3
SCWA1209,115.23803,-33.72235,6300.817022,3840.6763799,2460.1406421,17.3,0.19,1.98,3900.62324921985,4.96999453,1260.33594,0.3
SCWA2589,115.23989,-29.19695,1242.37383295,862.57367009,379.80016286,22.5,0.12,1.25,2692.43277550112,5.41149974,1468.2714,0.3
SCWA3395,115.24704,-28.9759,1282.37525553,953.54102204,328.83423349,22.2,0.09,1.35,4647.5077156985,5.74334006,1559.85415,0.3
SCWA2586,115.25221,-29.20077,1259.74264791,878.47507964,381.26756827,22.5,0.12,1.41,3024.16324301529,5.47678873,1462.04012,0.3
SCWA3396,115.25382,-28.9774,1242.5035951,970.42197211,272.08162299,22.2,0.09,1.51,3781.02255369748,5.54848898,1566.95934,0.3
SCWA3401,115.26387,-28.95115,1349.96892789,1096.6586502,253.31027769,22.3,0.09,1.46,3399.87439778434,5.55534292,1590.51037,0.3
SCWA2583,115.26555,-29.19761,1133.9919895,824.07475497,309.91723453,22.5,0.12,1.49,2712.38329423618,5.57837095,1496.77183,0.3
SCWA2856,115.26752,-28.93053,1040.38677869,729.50131425,310.88546444,22.3,0.09,1.28,4979.24368044699,5.71038049,1576.75255,0.3
SCWA2580,115.27195,-29.20049,1296.07162384,912.09806489,383.97355895,22.5,0.12,1.45,3329.00325786566,5.61610402,1497.2289,0.3
SCWA2868,115.27235,-28.96349,1267.97507214,960.07494792,307.90012422,22.3,0.09,1.32,3842.13140709957,5.63980856,1550.77234,0.3
SCWA2859,115.27724,-28.91415,1141.88494709,800.66335193,341.22159516,22.3,0.09,1.26,4447.669909055,5.73148646,1582.57528,0.3
SCWA2577,115.27842,-29.19371,1238.43544963,941.00848792,297.42696171,22.2,0.09,1.51,3759.74107235594,5.44398829,1485.56947,0.3
SCWA2877,115.27848,-28.997,1093.99974615,837.28440967,256.71533648,22.2,0.09,0.93,3218.39097297193,5.57842203,1583.05049,0.3
SCWA2574,115.28088,-29.20113,1223.21776158,909.43275048,313.7850111,22.5,0.12,1.5,2661.68564087779,5.69632264,1483.13469,0.3
SCWA2862,115.28181,-28.94524,1181.84730655,904.58478857,277.26251798,22.3,0.09,1.48,3200.08992996354,5.53779744,1580.2523,0.3
SCWA2853,115.28305,-28.92839,1323.95147795,1012.9487732,311.00270475,22.3,0.09,1.37,5661.3140802861,5.9540953,1558.32934,0.3
SCWA3231,115.28383,-29.24172,965.58954593,642.26293624,323.32660969,22.5,0.12,1.36,2937.0446199721,5.46625593,1489.23575,0.3
SCWA3192,115.28413,-29.23245,1203.23729517,878.78284043,324.45445474,22.5,0.12,1.43,3481.25481869291,5.57812429,1508.11953,0.3
SCWA2874,115.2844,-28.98131,1218.3545146,782.72004381,435.63447079,22.2,0.09,0.94,6033.09518031436,5.78253017,1560.02849,0.3
SCWA2865,115.28547,-28.95945,1303.70036765,998.71331583,304.98705182,22.3,0.09,1.39,3254.98654023311,5.32270713,1582.38982,0.3
SCWA3045,115.28995,-29.17759,1251.40323753,985.11881874,266.28441879,22.2,0.09,1.46,3311.78532811305,5.47582519,1491.97866,0.3
SCWA2790,115.2918,-29.1668,1220.0025705,872.38686278,347.61570772,22.2,0.09,1.4,3064.28691428633,5.65894427,1499.946,0.3
SCWA2871,115.29354,-28.96907,1080.31655048,822.33276711,257.98378337,22.3,0.09,1.15,4258.56124283614,5.60294134,1565.76727,0.3
SCWA3189,115.29451,-29.23169,1037.76933186,679.11679699,358.65253487,22.5,0.12,1.02,3730.02058697176,5.66530772,1495.97942,0.3
SCWA1734,115.29468,-33.74719,6057.5857103,3358.615258,2698.9704523,17.3,0.19,2.19,5644.21222825086,5.04260609,1343.83924,0.3
SCWA1686,115.2948,-33.7376,6584.6143547,3649.5259136,2935.0884411,17.3,0.19,2.01,5760.81259661853,4.95519705,1328.49569,0.3
SCWA2724,115.29487,-29.51894,1424.7652903,1052.4723982,372.2928921,23.2,0.15,1.29,3631.2169043438,5.10167967,1475.35355,0.3
SCWA3033,115.29563,-29.31697,1181.75860884,879.71211122,302.04649762,22.5,0.12,1.42,2774.53338371335,5.33799031,1511.24915,0.3
SCWA3102,115.29587,-29.49172,1141.4414234,784.1207612,357.3206622,23.2,0.15,1.04,5513.39240427518,5.15024465,1487.758,0.3
SCWA3048,115.29728,-29.1869,1064.54918505,774.24238183,290.30680322,22.2,0.09,1.42,2392.21509015989,5.28643653,1537.30595,0.3
SCWA1662,115.299,-33.75038,8030.3703498,4692.8323117,3337.5380381,17.3,0.19,2.31,5727.08924441109,4.89792466,1347.98138,0.3
SCWA3051,115.29964,-29.17745,1051.75332934,730.38002069,321.37330865,22.2,0.09,1.19,3245.317523995,5.37973662,1491.42681,0.3
SCWA1659,115.30061,-33.74994,8257.0059716,5082.3856139,3174.6203577,17.3,0.19,2.31,5836.25897490759,4.92121218,1314.5465,0.3
SCWA3186,115.30194,-29.2315,1148.29460547,797.00836062,351.28624485,22.5,0.12,1.31,3856.54562118246,5.6421323,1516.33493,0.3
SCWA3039,115.30281,-29.25442,1195.2880049,838.15309411,357.13491079,22.5,0.12,1.5,3856.78440264483,5.46101165,1501.36757,0.3
SCWA3030,115.30502,-29.32105,1241.10160489,810.68141214,430.42019275,22.5,0.12,1.3,3743.80266826387,5.34290439,1497.5677,0.3
SCWA1647,115.30721,-33.74728,7778.4271438,4185.3005563,3593.1265875,17.3,0.19,2.21,5766.35313580373,5.01905477,1324.06419,0.3
GA_bot406,115.309,-24.7,1870.31774728,1621.6887816,248.62896568,28.3,0.12,0.32,5590.73446314676,5.46957349,1565.45419,0.3
SCWA1650,115.30927,-33.74485,7835.7378778,4593.7729349,3241.9649429,17.3,0.19,2.2,5877.74475738463,5.03945762,1315.9785,0.3
SCWA1737,115.3093,-33.7488,8503.7332136,4780.5367229,3723.1964907,17.3,0.19,2.26,5639.14365804523,5.03468249,1304.87996,0.3
SCWA3105,115.31251,-29.47596,1096.76478897,689.06313869,407.70165028,23.2,0.15,0.95,5902.13687258439,5.21832051,1474.73838,0.3
SCWA1665,115.31577,-33.74347,8434.5186656,4663.1893824,3771.3292832,17.3,0.19,2.37,5850.51869762661,4.98195746,1287.48066,0.3
SCWA3066,115.31851,-29.52059,1124.70459155,719.80099762,404.90359393,23.2,0.15,1.11,6099.41765633122,5.11246625,1463.22053,0.3
SCWA3183,115.32876,-29.22465,1229.77206751,985.42603264,244.34603487,22.5,0.12,1.6,2811.20765757487,5.33746124,1506.85992,0.3
SCWA3024,115.33203,-29.34191,1124.03740187,732.31928789,391.71811398,22.5,0.12,1.17,3604.54697326935,5.38067871,1520.14632,0.3
SCWA3027,115.33641,-29.33531,1435.38504182,1148.0900418,287.29500002,22.5,0.12,1.67,3066.37662770495,5.35055379,1540.51408,0.3
SCWA3054,115.34326,-29.11573,1047.39114606,706.70204806,340.689098,22.2,0.09,1.22,3613.65407031889,5.48072088,1510.30001,0.3
SCWA3042,115.34785,-29.26161,1272.48246013,1040.179285,232.30317513,22.5,0.12,1.53,2461.28716337093,5.29698749,1483.67866,0.3
SCWA3021,115.35019,-29.31867,1175.33852909,810.49460367,364.84392542,22.5,0.12,1.53,3926.76809400673,5.52953712,1509.95179,0.3
SCWA3057,115.35179,-29.11487,1066.58083969,749.41626694,317.16457275,22.2,0.09,1.18,4708.46165197091,5.69695131,1487.62597,0.3
SCWA3111,115.35183,-29.4793,1447.44491286,975.35304692,472.09186594,23.2,0.15,1.06,1456.03507189553,5.05725603,1504.47914,0.3
SCWA2778,115.35474,-29.20565,1121.38997095,893.09297552,228.29699543,22.5,0.12,1.47,2277.25265401759,5.47483259,1515.88338,0.3
SCWA2775,115.35925,-29.197,1046.71666175,779.62132192,267.09533983,22.5,0.12,1.35,3097.32987680922,5.56882268,1513.63828,0.3
SCWA2787,115.36086,-29.2042,1169.14777524,934.61583068,234.53194456,22.5,0.12,1.56,4290.40161274671,5.90046163,1455.0063,0.3
SCWA2784,115.36165,-29.21333,1139.34021264,898.14213835,241.19807429,22.5,0.12,1.46,2825.07030158823,5.43896233,1537.79281,0.3
SCWA3018,115.36175,-29.30115,1200.26919531,778.2862719,421.98292341,22.5,0.12,1.34,3045.22034735399,5.22265941,1507.71768,0.3
SCWA2772,115.36469,-29.19507,1122.49911537,839.07237504,283.42674033,22.2,0.09,1.44,4508.46793038798,5.71279436,1492.76117,0.3
SCWA2781,115.36555,-29.20771,1167.26704505,929.67193131,237.59511374,22.5,0.12,1.49,4070.53716250193,5.53675817,1516.51649,0.3
SCWA3060,115.36581,-29.1121,1279.60757206,1081.5245744,198.08299766,22.2,0.09,1.11,4389.53786901517,5.85241068,1495.71418,0.3
SCWA1500,115.36691,-33.73951,7248.2417988,4521.2430271,2726.9987717,17.3,0.19,1.7,5790.47773464528,5.03879655,1334.4741,0.3
SCWA1860,115.36902,-33.73913,7645.2873373,4928.4483976,2716.8389397,17.3,0.19,1.46,5630.06972640673,4.9672427,1321.88847,0.3
SCWA1830,115.36962,-33.74416,7681.3083808,4632.7136172,3048.5947636,17.3,0.19,1.7,5958.1925474858,5.00388901,1342.06489,0.3
SCWA1923,115.37042,-33.74031,7120.0684232,4545.9066927,2574.1617305,17.3,0.19,1.46,5779.53952093736,4.98354285,1366.35933,0.3
SCWA1863,115.37051,-33.74388,6975.1231308,4272.2494446,2702.8736862,17.3,0.19,1.7,5934.52429256802,4.97979096,1343.5533,0.3
SCWA1926,115.37153,-33.74051,7053.9465109,4684.4017764,2369.5447345,17.3,0.19,1.64,5777.03785326749,4.93138883,1371.6582,0.3
SCWA1866,115.37215,-33.74392,6616.6669719,3806.0312401,2810.6357318,17.3,0.19,1.64,5837.36275189472,5.06878999,1360.44401,0.3
SCWA1551,115.37366,-33.74437,7021.3905109,4141.2889558,2880.1015551,17.3,0.19,1.64,4573.78341164813,4.99792478,1270.685,0.3
SCWA1929,115.37381,-33.73975,7516.3808198,4690.5061413,2825.8746785,17.3,0.19,1.97,5620.41052494531,4.93674629,1322.45443,0.3
SCWA3228,115.37647,-29.11829,1055.77723436,768.08701653,287.69021783,22.2,0.09,1.2,4199.20554162633,5.43732019,1486.22403,0.3
SCWA1392,115.37794,-33.74045,6475.3690142,3843.0158537,2632.3531605,17.3,0.19,2.17,5790.81508604513,4.93869704,1346.69636,0.3
SCWA1458,115.38084,-33.73776,6407.5173912,3480.5606439,2926.9567473,17.3,0.19,2.33,5629.60698200169,4.96377416,1314.43165,0.3
SCWA3234,115.38223,-29.39316,1367.34658371,1080.6202808,286.72630291,22.5,0.12,1.58,3978.42846676249,5.28955802,1521.59396,0.3
SCWA1389,115.38251,-33.74389,6741.2971302,4028.0237759,2713.2733543,17.3,0.19,2.25,5719.37605166985,4.91544463,1343.0037,0.3
SCWA1461,115.38366,-33.73948,7118.8765717,4286.2754702,2832.6011015,17.3,0.19,2.26,6015.87207749744,4.99780241,1338.94126,0.3
SCWA3238,115.38581,-29.3854,1093.08193362,767.77929653,325.30263709,22.5,0.12,1.44,3290.9921222088,5.38370115,1517.71288,0.3
SCWA1452,115.39449,-33.73602,7059.2118567,4048.8269529,3010.3849038,17.3,0.19,2.22,6066.74165055567,4.97497342,1349.88619,0.3
SCWA1467,115.396,-33.74093,6729.5952472,4400.1822465,2329.4130007,17.3,0.19,2.39,5901.85029544153,4.99668433,1323.33602,0.3
SCWA1455,115.39621,-33.73516,6973.9985601,4002.8874672,2971.1110929,17.3,0.19,2.22,5531.66683410739,4.93906536,1309.76673,0.3
SCWA3015,115.39931,-29.33968,1397.52552733,1062.2730909,335.25243643,22.5,0.12,1.56,3313.39660253557,5.30453459,1508.32796,0.3
SCWA1464,115.40055,-33.73807,7013.3474828,4433.4083383,2579.9391445,17.3,0.19,2.01,4687.74757269883,5.01290501,1324.92273,0.3
SCWA1440,115.40159,-33.74793,5030.1192073,3286.3216548,1743.7975525,17.3,0.19,2.24,6059.64880488394,4.93960956,1354.46128,0.3
SCWA2805,115.40263,-28.91611,1246.93311239,970.59420117,276.33891122,22.3,0.09,0.97,3259.18175653046,5.20382368,1582.51957,0.3
SCWA1437,115.40287,-33.74508,7178.8327875,4471.8024306,2707.0303569,17.3,0.19,2.33,6000.0706311033,5.04168485,1291.02014,0.3
GA_bot45,115.40628,-21.77101,1997.02786962,1685.9558488,311.07202082,30.5,0.14,0.41,3882.0256028345,5.3289305,1490.16749,0.3
SCWA1749,115.4075,-33.70794,5446.0159991,3689.3985399,1756.6174592,17.3,0.19,2.09,6015.81850787267,4.98669131,1332.89509,0.3
SCWA1566,115.40841,-33.74192,8144.1566401,4532.287027,3611.8696131,17.3,0.19,2.02,6013.15966069671,5.04733222,1319.52397,0.3
SCWA1563,115.40853,-33.75998,6859.938967,3928.302047,2931.63692,17.3,0.19,2.18,5217.93681708487,4.97555544,1334.14096,0.3
SCWA1590,115.40933,-33.70617,6309.115514,3854.1961613,2454.9193527,17.3,0.19,2.26,5666.64945396848,4.96496486,1339.90601,0.3
SCWA3000,115.40934,-29.21349,1225.49595437,970.08758975,255.40836462,22.5,0.12,1.27,3195.15036739642,5.51132513,1525.30734,0.3
SCWA1587,115.40976,-33.70863,6035.8433406,3753.5301759,2282.3131647,17.3,0.19,2.35,5948.6840113404,5.05579497,1347.13755,0.3
SCWA3246,115.41005,-28.90301,1043.23610254,832.25784367,210.97825887,22.3,0.09,0.94,2978.68858441568,5.30133707,1619.73429,0.3
SCWA3252,115.41013,-28.93951,1274.73629508,978.20287913,296.53341595,22.3,0.09,1.07,2683.498633489,5.1815366,1539.75412,0.3
SCWA1401,115.41144,-33.73254,6456.7612194,3603.6552124,2853.106007,17.3,0.19,2.28,5883.46212821651,4.99642189,1337.51411,0.3
SCWA1503,115.4123,-33.76141,4336.7808836,2681.2708005,1655.5100831,17.3,0.19,1.69,4588.21491253981,4.79500106,1280.67328,0.3
SCWA1398,115.41389,-33.73642,7113.9126519,4268.9146061,2844.9980458,17.3,0.19,2.19,6041.8591630956,5.0366915,1335.40827,0.3
SCWA1608,115.4139,-33.70737,6633.1798076,4089.8771138,2543.3026938,17.3,0.19,2.48,6023.75895025973,5.02195668,1350.69611,0.3
SCWA3249,115.41395,-28.93062,1148.05307919,879.2732846,268.77979459,22.3,0.09,0.94,1932.355258051,5.16710111,1565.551,0.3
SCWA1557,115.41438,-33.75883,6356.5518955,3594.1876753,2762.3642202,17.3,0.19,2.24,5730.00547947615,4.86333791,1323.18922,0.3
SCWA1746,115.41489,-33.7062,6784.5352907,4211.8663008,2572.6689899,17.3,0.19,2.29,5870.12924572315,5.00962785,1336.57033,0.3
SCWA1470,115.41595,-33.76134,5233.4140393,3089.9754266,2143.4386127,17.3,0.19,1.61,4729.09616909768,4.7574116,1308.47899,0.3
SCWA1743,115.41654,-33.7073,5541.5970709,3436.468191,2105.1288799,17.3,0.19,2.53,6082.09710870563,5.03560774,1354.20955,0.3
SCWA1479,115.41661,-33.7577,6969.1790503,4500.2810959,2468.8979544,17.3,0.19,2.27,4891.85278896864,4.80820856,1355.27368,0.3
SCWA3389,115.41664,-28.99956,1526.18902475,1320.8149046,205.37412015,22.2,0.09,0.9,4686.21512728606,5.79212902,1569.73451,0.3
SCWA3003,115.41772,-29.21263,1162.26329222,908.83561494,253.42767728,22.5,0.12,1.58,4026.77211699155,5.66796017,1508.97602,0.3
SCWA1473,115.41787,-33.76136,4715.6866229,3135.7652033,1579.9214196,17.3,0.19,1.64,5701.79170006362,4.86440488,1323.0382,0.3
SCWA1395,115.4179,-33.73375,6186.5097954,3251.9381959,2934.5715995,17.3,0.19,2.32,5922.26256350121,4.95196441,1342.49634,0.3
SCWA1575,115.41794,-33.7112,5952.514846,3552.6552084,2399.8596376,17.3,0.19,2.51,5811.75327186561,5.07692549,1328.48006,0.3
SCWA3006,115.41812,-29.26708,1408.1286118,1083.7420527,324.3865591,22.5,0.12,1.45,3265.15794675916,5.39434246,1536.47168,0.3
SCWA1545,115.41945,-33.75098,5743.654126,3445.6661302,2297.9879958,17.3,0.19,1.88,5819.02941998637,5.02266043,1341.78496,0.3
SCWA1572,115.41949,-33.70437,6182.3606895,3760.4745958,2421.8860937,17.3,0.19,2.41,5947.34774911981,5.04812749,1335.57495,0.3
SCWA3009,115.41991,-29.25799,1418.9287338,1122.1696043,296.7591295,22.5,0.12,1.52,3590.5929247434,5.29205952,1556.23263,0.3
SCWA1446,115.42051,-33.73416,6626.1459772,3737.8970039,2888.2489733,17.3,0.19,2.11,5925.49838434794,5.10929332,1336.30242,0.3
SCWA1443,115.42057,-33.73664,5347.8529936,3327.7552155,2020.0977781,17.3,0.19,2.14,6022.0647503851,5.00355173,1328.27354,0.3
SCWA1476,115.42128,-33.7618,5085.561326,3113.9354536,1971.6258724,17.3,0.19,1.52,5906.50648885586,4.78674857,1366.4515,0.3
SCWA1605,115.42254,-33.7132,5684.4234366,3453.6840627,2230.7393739,17.3,0.19,2.09,5753.69742582147,5.05454506,1322.00402,0.3
SCWA1569,115.42272,-33.70654,6552.2386834,4191.7046274,2360.534056,17.3,0.19,2.37,5829.32439454624,5.14233082,1295.40157,0.3
SCWA3063,115.42407,-29.15137,1299.80916053,1012.1242133,287.68494723,22.2,0.09,1.49,4106.59839359027,5.85005084,1480.40592,0.3
SCWA2799,115.42447,-28.87142,1114.75971872,805.23082769,309.52889103,22.3,0.09,1.13,4627.95970555576,5.6988266,1612.57444,0.3
SCWA1449,115.42457,-33.73775,5478.9807065,3166.0292449,2312.9514616,17.3,0.19,1.96,5968.14497789967,5.00277655,1343.2429,0.3
SCWA1506,115.42515,-33.76226,4484.634737,2938.831414,1545.803323,17.3,0.19,1.56,5610.97582706917,4.78479584,1330.80796,0.3
SCWA1188,115.42757,-33.69231,5267.0050266,3476.5150459,1790.4899807,17.3,0.19,2.28,6194.99553407664,5.0172167,1299.76304,0.3
SCWA1191,115.42766,-33.69682,5065.8994319,3511.9343715,1553.9650604,17.3,0.19,2.34,6126.17257856728,5.0166799,1351.60879,0.3
SCWA1248,115.42805,-33.67811,4723.044948,3163.3601435,1559.6848045,18.6,0.24,1.83,6017.06195982178,5.16712485,1329.44423,0.3
SCWA1203,115.42911,-33.68177,4777.7830356,3283.6369814,1494.1460542,18.6,0.24,1.58,5959.42803540097,5.07606573,1357.25375,0.3
SCWA1155,115.42964,-33.69475,6397.9772397,4384.5719388,2013.4053009,17.3,0.19,2.31,6118.32062145701,5.01243077,1333.95197,0.3
SCWA1542,115.43092,-33.75396,4605.7303585,2837.9467112,1767.7836473,17.3,0.19,1.95,5416.71171987973,4.8881366,1288.9784,0.3
SCWA1185,115.43167,-33.70209,5305.8327207,3352.3502836,1953.4824371,17.3,0.19,1.9,6073.53355464722,5.14289104,1344.96457,0.3
