site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
S86,144.36749,-31.332078,4552.52362954617,3616.43962414857,936.084005397603,23.1554334780547,0.14818015320508,0.41395499496802,4031.093474,6.7854611287117,1517.50787651539,0.3,49
GA_bot485,133.456,-17.264,1327.51610057,1237.9634066,89.55269397,29.7,0.27,0.62,6359.77304101204,6.53897864,1507.589,0.3,50
GA_bot90,134.22659,-18.28154,1496.09643243,1384.0685206,112.02791183,29.5,0.3,0.9,6381.9107049863,6.93737351,1334.92375,0.3,50
GA_bot305,134.53195,-18.27831,2179.14299868,1920.2071018,258.93589688,29.6,0.29,0.8,5945.6232229471,6.36531067,1482.69946,0.3,50
GA_bot155,134.84773,-18.66192,924.96039235,826.97088228,97.98951007,29.4,0.27,0.93,6396.64832196371,7.046707,1373.83913,0.3,50
GA_bot180,135.40532,-18.61875,1334.00010444,1250.0629634,83.93714104,29.6,0.3,0.93,6377.48777007388,6.89359932,1485.63897,0.3,50
GA1023,135.40567,-18.61858,1439.18760082,1350.0719647,89.11563612,29.6,0.3,0.93,6377.48777007388,6.89359932,1485.63897,0.3,50
GA_bot609,135.576,-17.975,2167.65457428,1920.7823076,246.87226668,29.8,0.3,0.47,5848.54526765907,6.12722741,1507.40997,0.3,50
GA_bot324,135.70712,-17.95252,1616.71734287,1305.1507882,311.56655467,29.7,0.3,0.75,5909.82454109862,6.0644634,1475.7448,0.3,50
GA_bot633,135.859,-18.936,1057.75889273,1008.6975596,49.06133313,29.6,0.29,0.63,6383.51589539408,7.42822616,1450.0707,0.3,50
GA1116,136.06831,-19.29258,1269.46060373,1149.0650598,120.39554393,29.4,0.27,0.62,6374.153593809,7.24989741,1466.30907,0.3,50
GA948,136.11569,-18.57618,2998.88376783,2409.8489724,589.03479543,29.5,0.3,0.48,6142.10160775642,6.38666116,1468.69082,0.3,50
GA_bot469,136.116,-18.577,3031.04275962,2586.208762,444.83399762,29.5,0.3,0.54,6269.8806496319,6.56792563,1448.26531,0.3,50
GA_bot112,137.01532,-20.04195,1159.27812452,1080.15782,79.12030452,29,0.24,0.59,6305.90499764259,7.00427558,1466.25448,0.3,50
GA1007,137.01593,-20.04302,1047.30912893,961.20565631,86.10347262,29,0.24,0.59,6269.58126655681,6.97673904,1479.46926,0.3,50
GA_bot222,137.63522,-20.81319,1075.51844723,982.84402931,92.67441792,29,0.18,0.43,6502.59116562531,6.1410726,1501.63496,0.3,50
GA1083,137.6653,-20.57638,1297.09769076,1207.474062,89.62362876,29.1,0.29,0.41,6305.74269217677,6.89524245,1479.2899,0.3,50
GA821,137.83778,-20.45186,1107.19238025,1016.9896788,90.20270145,29.3,0.29,0.61,6373.1204998473,7.31888272,1443.14508,0.3,50
GA_bot186,137.93327,-20.96774,1321.37411092,1215.5308525,105.84325842,29,0.25,0.39,5580.78797503483,7.11771629,1459.92115,0.3,50
GA800,137.93643,-22.28313,1070.57696268,961.90968813,108.66727455,29,0.13,0.51,8547.12256251275,5.99539553,1516.19861,0.3,50
GA_bot160,137.97887,-21.06307,1109.11863676,1036.9342564,72.18438036,29,0.25,0.5,6293.86671293922,6.98026386,1460.52684,0.3,50
GA910,138.03904,-20.14888,1113.08046573,1025.1356803,87.94478543,29.3,0.29,0.57,6274.17714583672,6.77561502,1477.18242,0.3,50
GA_bot201,138.2744,-21.36532,1123.36506352,1033.0807966,90.28426692,29.2,0.24,0.29,5989.76678889262,6.57502933,1475.86259,0.3,50
GA833,138.44055,-22.511666,1354.79000162,1236.1555585,118.63444312,28.7,0.13,0.48,5415.79383042109,6.80266008,1462.95413,0.3,50
GA_bot452,138.458,-21.949,1192.75443377,1110.5135515,82.24088227,29,0.21,0.45,6248.87781453422,6.7839766,1469.09232,0.3,50
GA_bot712,138.698,-22.19,1311.59687739,1210.5120756,101.08480179,28.6,0.25,0.36,6228.5201299351,6.47252296,1486.50323,0.3,50
GA_bot12,138.76076,-22.87402,1358.75341534,1242.0086609,116.74475444,28.5,0.14,0.42,5288.33741526879,6.81262773,1478.65059,0.3,50
GA_bot209,139.94213,-22.89104,1487.05675703,1334.3751627,152.68159433,28.2,0.23,0.36,9022.88831973114,6.03665585,1495.60168,0.3,50
GA917,139.96004,-22.41106,1228.33937228,1100.3189487,128.02042358,28.5,0.22,0.5,6295.63769601895,6.02373391,1512.4518,0.3,50
GA1093,140.11243,-22.08868,1694.18267952,1443.3270513,250.85562822,28.1,0.19,0.48,5718.78358432558,5.66518005,1518.97439,0.3,50
GA_bot665,140.338,-23.04,1304.7915754,1178.6017437,126.1898317,28.1,0.25,0.36,6261.8551773929,6.66477726,1463.88849,0.3,50
GA_bot205,140.56243,-22.61139,1720.64519677,1538.2858922,182.35930457,28.2,0.25,0.29,6270.17078183096,6.34888426,1452.70347,0.3,50
GA_bot503,140.563,-22.612,1901.88732301,1737.7737093,164.11361371,28.2,0.25,0.29,6253.25118894251,6.26388441,1451.22019,0.3,50
QLDR000635,141.686822,-20.330546,1292.70685048,1091.4176466,201.28920388,30,0.29,0.88,6377.74066066644,7.41047746,1424.02988,0.3,50
QLDR000638,141.687224,-20.330269,1192.16334616,983.27344831,208.88989785,30,0.29,0.88,6377.74066066644,7.41047746,1424.02988,0.3,50
GA_bot334,141.95433,-22.81388,1632.8880668,1433.2568159,199.6312509,28.6,0.26,0.42,6271.88632194886,6.27014044,1514.42545,0.3,50
GA1074,142.40676,-22.22798,1492.44081783,1356.2216379,136.21917993,28.6,0.27,0.45,6349.1568105791,6.6398968,1458.13217,0.3,50
GA_bot522,142.515,-22.282,1172.21181561,1081.0851705,91.12664511,28.8,0.26,0.73,6372.31917953071,7.08753827,1422.2926,0.3,50
GA_bot564,142.533,-22.319,1328.6402894,1239.0334038,89.6068856,28.8,0.26,0.54,6354.12948931933,6.83790365,1455.41056,0.3,50
QLDR000632,143.050184,-21.383638,1339.91286943,1109.4126091,230.50026033,28.9,0.29,0.8,6375.76030238633,6.91335492,1426.08951,0.3,50
QLDR000629,143.05057,-21.384113,1291.12693191,1033.5116696,257.61526231,28.9,0.29,0.81,6375.76030238633,6.91335492,1426.08951,0.3,50
GA_bot455,143.799,-25.238,1735.30251163,1599.442512,135.85999963,26.6,0.15,0.43,6230.69966133302,6.17299268,1485.77394,0.3,50
GA_bot492,143.895,-20.668,1862.47117025,1667.1448616,195.32630865,28.5,0.27,0.58,9021.17256619161,5.96017469,1461.9871,0.3,50
GA_bot569,143.901,-24.752,1657.36167315,1551.892034,105.46963915,27,0.21,0.53,6341.49251383105,6.78884248,1433.53758,0.3,50
QLDR000662,144.040863,-23.664802,1168.5800733,794.66610577,373.91396753,27.4,0.26,0.73,6343.4946757196,6.97016002,1428.13602,0.3,50
QLDR000659,144.04093,-23.664407,1217.63296587,915.08177018,302.55119569,27.4,0.26,0.73,6343.4946757196,6.97016002,1428.13602,0.3,50
GA_bot718,144.383,-23.193,1676.09595174,1537.2177841,138.87816764,27.6,0.25,0.43,6357.15057952394,6.58358964,1443.60829,0.3,50
GA1019,144.85336,-24.02289,2125.38981488,1919.9751154,205.41469948,26.9,0.21,0.45,6334.75271211023,6.47235253,1440.99912,0.3,50
GA_bot490,144.969,-24.072,1668.73285645,1547.8996188,120.83323765,27,0.26,0.51,6333.5284275031,6.76328135,1415.04521,0.3,50
GA_bot749,145.201,-24.496,1678.19278966,1553.5721489,124.62064076,26.5,0.26,0.58,6369.66664067168,6.94921102,1402.27714,0.3,50
GA_bot426,145.203,-24.312,1844.11766476,1708.8755312,135.24213356,27,0.24,0.48,6326.40871780898,6.4857216,1473.13291,0.3,50
GA_bot679,146.428,-25.798,2298.35460798,2065.6457704,232.70883758,24.2,0.21,0.73,7078.72848888781,6.03889211,1446.05293,0.3,50
S131,144.824113,-24.821378,4382.49889612198,3621.60651743779,760.892378684182,24.909319821843,0.163777827681713,0.446538575741697,4053.041509,6.15305796098709,1460.83296537399,0.3,50
S134,143.353903,-24.090758,4321.23482465745,3547.14656092399,774.088263733463,27.8904346175279,0.281171548934967,0.469821514418079,4068.750655,6.90766396665573,1440.41160821915,0.3,50
S136,144.095436,-23.657733,4318.47593593596,3744.14279078412,574.333145151841,27.4220394906472,0.264051201437233,0.655189273149188,4064.501909,6.9180904788971,1439.49197864532,0.3,50
S147,143.140361,-22.508506,4335.77225768565,3594.28525412205,741.487003563603,28.3249403440045,0.195817027222597,0.595629280302085,4035.902375,6.3120586013794,1445.25741922855,0.3,50
S148,143.025676,-22.504689,4305.48751544952,3681.47490593938,624.012609510139,28.2996109239714,0.126873851169831,0.613991732581447,4070.448093,7.05324500465393,1435.16250514984,0.3,50
S165,133.5234889,-17.52132222,4670.32951176168,3456.73867501277,1213.59083674892,30.0750224235014,0.236831424507822,0.881364244662358,3915.858171,5.3023927359581,1556.77650392056,0.3,50
S167,133.4238944,-17.28296944,4624.82680499552,3810.06202773301,814.764777262517,29.7270371118929,0.26959158203791,0.740133863146776,4059.501131,6.45868105888367,1541.60893499851,0.3,50
GA_bot629,143.137,-31.462,2091.03754365,1909.4042235,181.63332015,22.8,0.2,0.34,5387.72396278735,6.61285847,1499.51777,0.3,52
GA_bot381,143.169,-26.315,1403.14955127,1225.5043031,177.64524817,26,0.26,0.1,6061.53052355792,6.25392614,1467.73793,0.3,52
DECCW1121,143.284519,-30.850564,1851.81909363,1602.4025609,249.41653273,23.4,0.16,0.45,8601.29408941407,6.55405277,1526.70873,0.3,52
GA_bot737,143.385,-26.296,1518.60351997,1348.9156675,169.68785247,26.4,0.23,0.29,6269.90739797056,6.31246291,1482.77856,0.3,52
GA_bot602,144.012,-30.918,1793.6588231,1619.6766189,173.9822042,23.3,0.21,0.41,6348.1406465766,6.91901565,1465.20257,0.3,52
GA_bot202,144.018615,-30.32465,2478.60051448,2043.2874461,435.31306838,23.9,0.17,0.34,6427.78987510837,6.49213641,1506.24195,0.3,52
GA_bot738,144.065,-30.755,1440.01530532,1356.0510215,83.96428382,23.6,0.2,0.37,6244.35178916958,7.12080059,1465.2179,0.3,52
GA_bot472,144.085,-27.529,1358.35529549,1261.4296916,96.92560389,25.6,0.19,0.26,6317.4917760377,5.98350983,1507.29229,0.3,52
GA_bot690,144.309,-26.34,1940.93899241,1770.3704565,170.56853591,25.9,0.15,0.35,9171.04063061308,5.97990917,1485.51946,0.3,52
GA1044,144.31068,-26.83994,2137.16758464,1968.3932894,168.77429524,25.8,0.22,0.36,9088.65287674792,5.62002033,1515.45605,0.3,52
GA_bot698,144.567,-25.919,1847.79524862,1712.8977108,134.89753782,26.1,0.15,0.53,8843.48507999536,5.95270318,1506.20948,0.3,52
Qld150,144.75598,-28.0688,1818.93415414,1639.2755969,179.65855724,25.5,0.13,0.22,5321.98352305021,5.62008866,1503.8716,0.3,52
Qld114,144.75751,-28.06899,1775.26426511,1629.3614215,145.90284361,25.5,0.13,0.22,4869.49778479668,5.47396559,1535.38772,0.3,52
GA1015,145.022797,-29.293883,2261.32280205,1993.399791,267.92301105,24.2,0.21,0.54,9194.89725027371,6.62281599,1490.29632,0.3,52
GA_bot488,145.18,-27.351,1610.59623446,1493.8290916,116.76714286,25,0.15,0.42,6394.08057089641,5.58234187,1510.78358,0.3,52
GA_bot681,145.218,-27.394,1645.62429687,1526.6178818,119.00641507,25,0.15,0.38,6119.53751365543,5.22737597,1509.85074,0.3,52
GA_bot114,145.397773,-30.023028,2056.80939862,1834.749577,222.05982162,23.5,0.23,0.21,6178.3965844032,6.81466796,1501.15077,0.3,52
GA996,145.580943,-25.806712,2165.77210161,1934.2803988,231.49170281,24.3,0.18,0.41,6090.92183520029,6.13125031,1507.45792,0.3,52
GA_bot471,145.683,-28.059,1852.74755,1696.8695444,155.8780056,24.5,0.24,0.5,6303.44852414252,6.63543708,1420.04439,0.3,52
DECCW0609,146.052637,-29.181158,1804.30569065,1631.0702504,173.23544025,23.8,0.22,0.4,6339.44402776011,7.17254862,1393.72469,0.3,52
GA1111,146.0751,-26.38673,2478.79089998,2241.397187,237.39371298,24.7,0.18,0.48,6208.33945680949,6.31505543,1441.25785,0.3,52
GA1029,146.11278,-29.530088,1916.82623408,1700.019501,216.80673308,23.7,0.19,0.28,6346.22065645112,6.59098858,1482.30144,0.3,52
GA940,146.24783,-26.39189,2704.01667638,2405.0444,298.97227638,24.3,0.17,0.64,7128.3785817716,5.89730802,1457.97931,0.3,52
GA_bot263,146.65533,-28.43372,1563.30088306,1342.0294859,221.27139716,24,0.24,0.37,6310.97148915309,6.5242963,1420.85723,0.3,52
GA_bot676,146.656,-28.436,1710.35992745,1570.2717617,140.08816575,24,0.24,0.33,6347.86903835147,6.53285873,1446.98944,0.3,52
GA851,146.73215,-28.93923,2031.02187585,1777.4725952,253.54928065,23.6,0.17,0.35,6873.58559960637,6.27655208,1484.94527,0.3,52
GA754,146.84239,-28.3459,1686.40076915,1551.9298403,134.47092885,24,0.24,0.2,6454.986982154,5.54229967,1540.88173,0.3,52
GA_bot107,147.30019,-27.4679,2015.56880951,1834.2417015,181.32710801,23.6,0.17,0.4,6053.22248296018,5.66939216,1482.47117,0.3,52
GA_bot613,147.407,-28.556,2581.66218505,2354.5360111,227.12617395,23.5,0.17,0.41,6636.00196998062,5.98636553,1461.40792,0.3,52
GA_bot626,147.488,-27.992,2566.34449415,2375.2868379,191.05765625,23.9,0.18,0.4,6275.3538582766,5.43315753,1470.37372,0.3,52
GA_bot672,148.506,-27.798,2958.73102565,2648.833507,309.89751865,23.3,0.17,0.6,7126.09773471835,6.14471121,1443.67168,0.3,52
S132,144.683938,-24.733204,4630.05393075942,3477.89196978816,1152.16196097126,24.909319821843,0.163777827681713,0.546721610899019,3865.562193,5.11703063297272,1543.35131025314,0.3,52
GA_bot255,115.92834,-27.3757,1303.84571222,1068.1939065,235.65180572,26.1,0.12,0.25,6315.5189839713,5.82424372,1562.48587,0.3,53
GA_bot366,116.22174,-26.98628,1539.30345148,1335.6395176,203.66393388,26.1,0.12,0.27,7944.63773148842,5.74836447,1546.91095,0.3,53
GA_bot343,116.22221,-26.98563,1447.86021413,1210.8894904,236.97072373,26.1,0.12,0.27,7572.77510542998,5.54440954,1561.14058,0.3,53
GA_bot355,116.61633,-26.09854,2289.03186993,1842.7383415,446.29352843,26.9,0.12,0.4,7608.61686176106,5.67486731,1558.0439,0.3,53
GA_bot108,116.82455,-27.43017,1816.36997523,1546.6790923,269.69088293,25.4,0.12,0.33,8356.98507183182,5.75062284,1539.74521,0.3,53
GA_bot272,116.88865,-26.28899,2888.17890518,2029.3705029,858.80840228,26.3,0.12,0.22,8237.85210025674,5.3892632,1503.93134,0.3,53
GA1068,117.38835,-28.26678,1680.71226024,1396.2723846,284.43987564,24.6,0.11,0.24,6555.19853682875,5.43557313,1582.60984,0.3,53
GA933,117.76497,-27.38745,1820.39295766,1448.9160058,371.47695186,25.8,0.12,0.16,6466.25593677127,5.19349557,1568.75467,0.3,53
GA_bot508,117.973,-26.181,1505.55093021,1356.2260838,149.32484641,26.5,0.12,0.3,6402.29688030354,5.78829783,1530.6291,0.3,53
GA_bot578,118.166,-26.608,1282.98904279,1093.7189066,189.27013619,26.2,0.12,0.34,7010.67311546986,5.64105055,1540.93063,0.3,53
GA_bot438,118.294,-26.127,1316.81117493,1124.9824697,191.82870523,26.2,0.12,0.23,5206.41843955642,5.55727453,1526.62768,0.3,53
GA_bot119,118.31827,-28.28824,1561.92862157,1300.080094,261.84852757,24.6,0.12,0.17,6421.60520640414,5.79676025,1548.34995,0.3,53
GA_bot689,118.382,-27.821,1554.29981499,1369.1983244,185.10149059,25.4,0.13,0.23,5342.15696768674,5.94529517,1544.94876,0.3,53
GA1002,118.7459,-27.09109,1388.96363896,1070.9463601,318.01727886,25.8,0.12,0.26,5357.91212583097,5.83910596,1559.94919,0.3,53
GA_bot654,119.002,-29.157,1645.15450265,1401.1392974,244.01520525,23.3,0.08,0.19,6135.76572645704,5.79353595,1526.92355,0.3,53
GA_bot411,119.056,-28.616,1646.95140628,1419.4619587,227.48944758,24.2,0.11,0.29,6240.4464945632,5.91047918,1547.44642,0.3,53
GA_bot307,119.56611,-27.56699,1488.42329527,1175.0955199,313.32777537,24.8,0.13,0.17,6504.19666904198,6.01944739,1469.36101,0.3,53
GA_bot624,119.737,-29.755,2388.85825162,2038.4966482,350.36160342,22.8,0.11,0.29,6085.90033379483,5.75181851,1528.64034,0.3,53
GA_bot260,119.95354,-27.19869,1630.35911786,1394.3624816,235.99663626,25.2,0.13,0.17,6315.77522799903,5.64947176,1561.62276,0.3,53
GA1067,119.95372,-27.19798,1642.69068063,1373.2624756,269.42820503,25.2,0.13,0.17,6472.18999373501,5.82817964,1550.09079,0.3,53
GA_bot290,120.09342,-28.26273,1526.28805374,1307.5291689,218.75888484,24.3,0.12,0.32,6245.48642091263,6.15657767,1512.27975,0.3,53
GA_bot714,120.269,-26.743,1445.38518778,1188.1715258,257.21366198,25.5,0.13,0.19,6554.60734144708,5.60088081,1462.37763,0.3,53
GA_bot684,120.52,-29.422,1930.79031521,1654.5040509,276.28626431,23.4,0.1,0.21,6046.72633977186,5.73444334,1512.89221,0.3,53
GA825,120.93008,-29.61786,1865.25128181,1499.5745734,365.67670841,22.5,0.12,0.2,6071.36755026232,6.0857201,1490.89674,0.3,53
GA_bot164,120.94172,-28.69266,1792.24738336,1492.0473466,300.20003676,24.2,0.13,0.21,6268.61047104788,6.29466572,1508.62067,0.3,53
GA_bot666,120.942,-28.692,1555.06905228,1334.8424566,220.22659568,24.2,0.13,0.21,6266.84182813834,6.28897404,1513.39547,0.3,53
GA_bot224,121.07514,-28.81332,1598.7629479,1326.1705899,272.592358,23.9,0.14,0.18,6111.19068732584,5.6192708,1543.77609,0.3,53
GA_bot413,121.359,-29.919,1786.895385,1461.3506672,325.5447178,22.2,0.15,0.24,5897.89846958151,5.92719251,1521.38245,0.3,53
GA_bot497,121.437,-27.774,1605.21150327,1336.8025289,268.40897437,25.1,0.13,0.23,6777.30900979,6.05679107,1537.30676,0.3,53
GA_bot87,121.6282,-26.49772,1790.63361027,1551.6499526,238.98365767,26,0.13,0.28,4782.18149107183,5.99060756,1477.18262,0.3,53
GA_bot91,121.8765,-29.35718,1697.29580657,1409.9621177,287.33368887,22.9,0.15,0.07,6219.89474482188,6.07665104,1454.83982,0.3,53
GA_bot711,121.877,-29.356,1851.48814859,1332.2701935,519.21795509,22.9,0.15,0.16,6270.62113820014,6.08902723,1309.42525,0.3,53
GA_bot188,121.98716,-29.87116,2126.24515481,1805.1297301,321.11542471,21.9,0.16,0.2,5680.47070881229,5.77770968,1515.9705,0.3,53
GA_bot392,122.114,-28.875,1308.2490146,1087.5965562,220.6524584,23.5,0.14,0.19,6285.06925586779,5.94406204,1519.5369,0.3,53
GA_bot461,122.193,-28.749,1513.89516329,1286.2305836,227.66457969,22.2,0.14,0.29,6927.83303341729,5.78084395,1531.50789,0.3,53
GA_bot183,122.53403,-30.65577,1996.14456734,1591.9073768,404.23719054,21.6,0.15,0.29,5067.53536763875,6.75661116,1386.05178,0.3,53
GA_bot517,123.197,-30.26,2283.42901763,1972.5930882,310.83592943,21.4,0.16,0.47,4746.78802492459,5.96115013,1491.47532,0.3,53
S120,120.9661222,-28.143125,4699.49863350389,2745.77332711364,1953.72530639026,24.2397549675209,0.130120039756801,0.368641149121275,3853.17731,5.31903429985046,1566.4995445013,0.3,53
S121,121.0137056,-28.06511111,4585.62731087208,2891.43490156095,1694.19240931113,24.4388606224684,0.113673919371876,0.340106453410518,3928.838744,5.63226070833206,1528.54243695736,0.3,53
S122,120.54617,-28.0505167,4758.58997082711,3719.66126991356,1038.92870091355,24.1012639335945,0.117866877094926,0.255985727474611,3983.568912,5.15426140022278,1586.19665694237,0.3,53
GA_bot15,123.85422,-31.81258,2591.65876376,2196.7558142,394.90294956,20.9,0.15,0.44,4267.76443134263,6.57831354,1463.66872,0.3,60
GA_bot152,124.44788,-31.73736,2034.02436102,1730.6899291,303.33443192,20.9,0.13,0.39,4970.62436662388,6.67399222,1418.3092,0.3,60
GA968,124.64339,-31.0056,2181.54785627,1819.2063619,362.34149437,21.7,0.13,0.47,4222.02829551717,6.2939815,1468.84664,0.3,60
GA_bot172,124.8986,-32.32711,2597.83373972,2082.2032566,515.63048312,20,0.14,0.61,5265.48642989744,6.88178657,1389.57683,0.3,60
GA_bot25,124.93223,-31.63689,2136.27150653,1770.4659185,365.80558803,20.9,0.13,0.43,4850.42469744045,6.39815404,1433.96256,0.3,60
GA_bot611,125.256,-29.718,1751.38268536,1485.8328425,265.54984286,23,0.14,0.32,4343.62431672922,5.94514206,1487.59676,0.3,60
GA_bot303,125.36034,-32.16652,3240.44133371,2403.7565936,836.68474011,19.9,0.15,0.46,4981.80784689338,6.81524126,1388.8491,0.3,60
GA_bot448,125.361,-32.167,2472.20221685,2115.6834054,356.51881145,19.9,0.15,0.46,4620.61344481335,6.8280038,1381.93514,0.3,60
GA_bot199,125.62379,-32.06124,2170.4587409,1821.6908364,348.7679045,20.2,0.13,0.48,4770.55805443494,6.65848085,1397.64296,0.3,60
GA_bot16,125.68042,-31.15691,2151.04293935,1843.6445542,307.39838515,21.3,0.13,0.46,5254.55587958204,6.48943448,1448.47073,0.3,60
GA_bot675,126.178,-29.464,1823.07658797,1561.030487,262.04610097,23,0.15,0.41,2761.17564010116,5.99536001,1502.88569,0.3,60
GA1126,126.17902,-29.46396,1901.84177256,1604.3017513,297.54002126,23,0.15,0.39,2983.16538941648,5.9008927,1524.41673,0.3,60
GA_bot88,126.2394,-30.83821,1773.10746914,1467.4317667,305.67570244,21.1,0.15,0.45,4876.9197035495,5.67463502,1504.57024,0.3,60
GA_bot75,126.55846,-31.81367,1850.72353696,1518.9111164,331.81242056,20.4,0.13,0.34,5200.62702443709,7.35297298,1367.11057,0.3,60
GA_bot340,126.70376,-29.5292,2385.72475848,1858.7995968,526.92516168,23.5,0.13,0.39,3383.52650584477,5.63130402,1467.48311,0.3,60
GA898,126.82435,-31.62096,2011.43493149,1677.0874617,334.34746979,20.4,0.13,0.37,5297.11799510398,6.67070145,1451.48109,0.3,60
GA_bot724,127.451,-30.924,1525.81869519,1391.9733488,133.84534639,21.3,0.13,0.41,4272.36195743773,6.20892916,1459.71471,0.3,60
GA_bot280,127.66004,-31.58387,2933.00950298,2638.3167157,294.69278728,20.3,0.13,0.53,3065.32829623862,5.98157507,1453.26783,0.3,60
GA_bot318,128.05319,-31.65824,4520.2217955,3357.29167,1162.9301255,20,0.14,0.49,3630.20334924143,5.72427152,1284.7727,0.3,60
GA_bot631,129.418,-18.384,1346.78323037,1244.6366595,102.14657087,30,0.2,0.96,6365.81524456236,6.95165509,1488.9295,0.3,61
GA_bot5,131.41299,-17.16534,2706.87531356,2409.1592166,297.71609696,30.5,0.26,0.85,5249.72619838671,6.48560179,1456.35297,0.3,61
GA_bot721,131.447,-17.209,2261.28446063,2050.0970946,211.18736603,30.5,0.26,0.95,6191.3972201865,6.32398507,1451.14465,0.3,61
GA_bot266,131.53397,-17.75164,2878.88313533,2179.5058559,699.37727943,30.8,0.15,0.71,4708.44986309384,5.74641565,1255.86634,0.3,61
GA_bot523,131.576,-17.602,1672.15808095,1535.6549089,136.50317205,30.4,0.21,0.81,4739.29022281861,5.45860392,1472.23032,0.3,61
GA_bot165,131.66794,-12.90992,2630.75310316,2189.2726009,441.48050226,29.5,0.27,1.89,7998.39500460042,5.1606647,1492.79013,0.3,21
S181,132.63072,-12.90283,4385.60650491714,3248.27635526663,1137.33014965051,29.6953255233675,0.15753584350126,1.24966489091832,4004.132742,5.0377844824791,1461.86883497238,0.3,62
S182,132.79813,-12.82329,4399.02048754692,3663.04000035619,735.980487190732,29.3841649491396,0.143499039349253,1.3454840016302,3989.969367,4.91819059705734,1466.34016251564,0.3,62
GA_bot45,115.40628,-21.77101,1997.02786962,1685.9558488,311.07202082,30.5,0.14,0.41,3882.0256028345,5.3289305,1490.16749,0.3,63
GA_bot342,115.67898,-22.66586,1543.33635854,1376.0569012,167.27945734,31.3,0.11,0.34,6795.09770165742,6.07086998,1549.9604,0.3,63
GA_bot2,116.12196,-22.73633,2240.40035359,1877.1755181,363.22483549,31.3,0.12,0.66,7596.79167572616,5.58376223,1502.75081,0.3,63
GA_bot430,116.148,-21.291,3108.7649546,2451.229558,657.5353966,30.9,0.13,0.61,5224.51784217138,5.56216209,1436.27145,0.3,63
GA_bot582,116.513,-20.876,2648.91049944,2252.3398369,396.57066254,30.4,0.21,0.36,4968.19347295621,5.79387553,1464.69351,0.3,63
GA_bot646,116.605,-22.518,3017.18754717,2315.0634595,702.12408767,29.2,0.15,0.59,5769.38694078726,5.39361411,1375.29419,0.3,63
GA_bot130,117.44122,-20.95139,2589.83148259,2157.4981866,432.33329599,31.4,0.18,0.46,5145.12037201798,5.81709731,1517.67631,0.3,63
GA_bot230,117.61121,-20.94588,2845.04124501,2373.7389432,471.30230181,31,0.22,0.55,5689.10645485596,5.54769892,1512.28539,0.3,63
GA_bot441,117.954,-20.667,1390.81658714,1156.8805788,233.93600834,30.7,0.14,0.47,5657.47917793198,5.41737417,1531.46746,0.3,63
GA_bot78,118.28402,-22.10375,2278.68491507,1892.3684953,386.31641977,30.4,0.18,0.59,6003.84866241322,6.16907457,1470.83863,0.3,63
GA_bot357,118.49577,-20.52006,1814.82736441,1534.0326404,280.79472401,30.1,0.11,0.38,5483.7635996323,5.53691319,1525.83461,0.3,63
GA_bot28,118.49627,-20.52041,1519.15525115,1286.6130481,232.54220305,30.1,0.11,0.43,5208.90630367804,5.3415902,1549.80979,0.3,63
GA_bot618,119.241,-22.339,2786.73287377,2286.981389,499.75148477,29.8,0.14,0.02,8467.32769883349,6.26764933,1455.89532,0.3,63
GA_bot39,119.25886,-20.31967,1897.13507068,1554.5589676,342.57610308,31.2,0.13,0.42,5487.89748411542,5.521117,1545.47599,0.3,63
GA_bot434,119.306,-20.326,1819.35972429,1539.9880179,279.37170639,31.2,0.13,0.62,5587.58417271679,5.62577663,1540.39354,0.3,63
GA928,119.3111,-20.0537,2493.30285544,2058.7031359,434.59971954,30.9,0.15,0.93,6154.43662665005,5.97205772,1499.98382,0.3,63
GA_bot464,119.352,-21.343,2131.24909278,1790.5947003,340.65439248,30.2,0.15,0.35,7912.70693297871,5.58278179,1552.95954,0.3,63
GA_bot156,119.664,-22.44402,2411.38642305,2003.7096259,407.67679715,29.3,0.15,0.04,8481.94166721959,6.06104689,1498.19503,0.3,63
GA936,119.96921,-22.64563,2173.20384954,1822.6106535,350.59319604,29.8,0.16,0.49,5211.87537285456,6.23430696,1506.97873,0.3,63
GA_bot444,120.02,-23.173,2099.29971342,1717.9971621,381.30255132,28.7,0.15,0.29,3424.74165405059,5.89406986,1471.82027,0.3,63
GA_bot598,120.289,-22.861,2133.78338986,1856.7670323,277.01635756,29.9,0.2,0.56,5031.78643644677,6.1123364,1516.20418,0.3,63
GA_bot161,120.68867,-20.85699,2315.4451613,1856.5082401,458.9369212,30.9,0.2,0.36,6095.3907889238,5.5707849,1543.80197,0.3,63
GA1063,120.68888,-20.85782,2213.75058763,1824.5454961,389.20509153,30.9,0.2,0.4,6177.94598456724,5.60262531,1540.8004,0.3,63
GA_bot546,120.737,-20.772,1824.10127418,1558.8398612,265.26141298,30.9,0.2,0.54,5571.35939349381,5.61251664,1532.46914,0.3,63
S139,120.2171194,-23.30198611,4128.19193243979,2367.20798290078,1760.983949539,28.8688361778576,0.139498037111893,0.225661010887375,2636.03469,5.80788063812256,1376.06397747993,0.3,63
S141,119.2379306,-23.18566389,4492.3963522911,2673.79190205117,1818.60445023992,27.8834340561087,0.134979917824854,0.271601700060716,3988.412993,5.79323120927811,1497.4654507637,0.3,63
