site,x,y,SOM,MAOM,POM.AGG,SoilTMP-C,SoilMoi-m3,NPP.gC.m2,qmax.gC.m2,pH-CaCl2,BD.mg.cm3,depth,REC-ID
GA973,136.93454,-30.2751,906.90313269,836.1546437,70.74848899,23.2,0.11,0.2,4505.38374503989,6.58234799,1513.74325,0.3,33
GA1021,137.295433,-33.291318,2620.0655081,2386.3818811,233.683627,19.8,0.16,0.53,3206.74438396242,6.9172134,1461.29669,0.3,33
GA_bot501,137.339,-30.616,647.54508065,591.60297258,55.94210807,23,0.1,0.32,1720.52921823431,6.24125324,1483.20143,0.3,33
GA1053,137.446275,-33.02515,2482.90276358,2273.34046,209.56230358,21,0.08,0.4,4389.09645138167,7.01809712,1426.70511,0.3,33
GA1031,137.574815,-32.80207,2202.90835606,1994.4932122,208.41514386,20.1,0.09,0.4,4587.29283096284,6.54226584,1476.46521,0.3,33
GA_bot274,137.75363,-32.2717,767.30811136,697.68071721,69.62739415,20.6,0.16,0.23,6059.16309171551,7.2041082,1497.1545,0.3,33
GA_bot576,137.754,-32.272,802.97290721,740.493363,62.47954421,20.6,0.16,0.2,6059.16309171551,7.2041082,1497.1545,0.3,33
GA826,138.0035,-30.586112,1154.14023905,1060.8144362,93.32580285,23,0.12,0.59,4957.91190253125,6.36166944,1493.016,0.3,33
GA764,138.215595,-31.714912,1588.38036697,1436.6685953,151.71177167,21.1,0.17,0.43,4342.64054991865,6.48053758,1462.45333,0.3,33
GA1102,133.14314,-14.93423,1803.18709598,1467.7043051,335.48279088,29,0.2,0.78,3109.71730510429,5.59510366,1503.87103,0.3,35
GA947,134.04712,-14.73791,2430.81030529,2117.5050943,313.30521099,30,0.31,1.32,5498.72445739375,5.62335304,1522.34338,0.3,35
GA_bot697,136.043,-16.509,1681.84332985,1556.1436399,125.69968995,29.1,0.1,0.76,6773.40583427341,5.66786602,1507.60672,0.3,35
S173,132.8914611,-14.77999444,4689.13346385957,3753.02415992089,936.10930393868,28.7643661160599,0.218765226938144,1.45317244304713,3847.817676,5.49621331501007,1563.04448795319,0.3,35
GA_bot723,120.506,-19.962,2009.36079652,1653.6291684,355.73162812,30.7,0.11,0.38,3387.9325064978,4.99931917,1571.25562,0.3,37
GA_bot83,129.23287,-22.85096,814.96602458,711.0356014,103.93042318,28.5,0.1,0.22,5680.66671182153,5.55349465,1494.37172,0.3,37
GA_bot637,129.32,-22.441,996.77698141,881.2412464,115.53573501,28.6,0.1,0.23,5837.12707015365,5.33937545,1495.82047,0.3,37
GA891,129.7858,-24.263,1141.394218,919.08342054,222.31079746,26.5,0.1,0.23,6279.27359230199,5.53578704,1374.08908,0.3,37
GA775,130.283,-24.472,1192.72256986,979.56739311,213.15517675,26.6,0.11,0.18,6647.11814400734,5.6658868,1420.99532,0.3,37
GA1079,130.6202,-24.6581,1380.65918,1089.0733495,291.5858305,25.6,0.11,0.2,5320.19721016223,5.27732095,1503.61277,0.3,37
GA952,130.729,-24.8345,1263.08872876,1030.5184429,232.57028586,25.5,0.11,0.23,6142.00015261936,5.77505222,1257.29095,0.3,37
GA873,130.9929,-24.996,1265.08701974,818.87827579,446.20874395,26.2,0.11,0.18,5727.1420373994,6.02557359,1137.63953,0.3,37
GA974,131.14386,-22.811403,1071.06031648,912.65855402,158.40176246,27.2,0.11,0.19,5495.66858605226,5.43542639,1555.71217,0.3,37
