"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.29,0.22,34.33,2001-01-01
"2",2,0.3,0.23,34.24,2001-01-02
"3",3,0.3,0.23,34.22,2001-01-03
"4",4,0.31,0.23,33.98,2001-01-04
"5",5,0.32,0.23,33.62,2001-01-05
"6",6,0.33,0.23,33.74,2001-01-06
"7",7,0.34,0.23,33.7,2001-01-07
"8",8,0.34,0.23,33.63,2001-01-08
"9",9,0.35,0.23,33.66,2001-01-09
"10",10,0.36,0.22,33.96,2001-01-10
"11",11,0.37,0.22,34.67,2001-01-11
"12",12,0.38,0.22,34.97,2001-01-12
"13",13,0.39,0.22,35.01,2001-01-13
"14",14,0.4,0.22,34.84,2001-01-14
"15",15,0.41,0.22,34.48,2001-01-15
"16",16,0.42,0.24,33.97,2001-01-16
"17",17,0.43,0.24,33.79,2001-01-17
"18",18,0.44,0.24,34.04,2001-01-18
"19",19,0.46,0.23,34.33,2001-01-19
"20",20,0.47,0.23,34.68,2001-01-20
"21",21,0.48,0.23,34.69,2001-01-21
"22",22,0.49,0.23,34.54,2001-01-22
"23",23,0.5,0.24,34.59,2001-01-23
"24",24,0.51,0.24,34.63,2001-01-24
"25",25,0.52,0.24,34.62,2001-01-25
"26",26,0.53,0.23,34.73,2001-01-26
"27",27,0.54,0.23,35.04,2001-01-27
"28",28,0.55,0.24,35.09,2001-01-28
"29",29,0.56,0.23,35.2,2001-01-29
"30",30,0.57,0.23,35.19,2001-01-30
"31",31,0.57,0.23,34.5,2001-01-31
"32",32,0.58,0.24,33.76,2001-02-01
"33",33,0.59,0.25,32.71,2001-02-02
"34",34,0.6,0.25,32.47,2001-02-03
"35",35,0.6,0.24,32.63,2001-02-04
"36",36,0.61,0.24,32.98,2001-02-05
"37",37,0.61,0.23,32.99,2001-02-06
"38",38,0.62,0.23,33.23,2001-02-07
"39",39,0.62,0.23,33.08,2001-02-08
"40",40,0.62,0.23,33.15,2001-02-09
"41",41,0.63,0.23,33.51,2001-02-10
"42",42,0.63,0.23,33.66,2001-02-11
"43",43,0.63,0.23,33.87,2001-02-12
"44",44,0.64,0.22,34.01,2001-02-13
"45",45,0.64,0.22,34.02,2001-02-14
"46",46,0.64,0.23,33.89,2001-02-15
"47",47,0.64,0.23,33.54,2001-02-16
"48",48,0.64,0.23,33.4,2001-02-17
"49",49,0.65,0.22,33.46,2001-02-18
"50",50,0.65,0.23,33.59,2001-02-19
"51",51,0.65,0.23,33.63,2001-02-20
"52",52,0.66,0.22,33.55,2001-02-21
"53",53,0.66,0.23,33.42,2001-02-22
"54",54,0.66,0.23,33.47,2001-02-23
"55",55,0.67,0.23,33.38,2001-02-24
"56",56,0.67,0.23,33.62,2001-02-25
"57",57,0.67,0.23,33.41,2001-02-26
"58",58,0.67,0.23,33.39,2001-02-27
"59",59,0.68,0.24,33.3,2001-02-28
"60",60,0.52,0.25,33.08,2001-03-01
"61",61,0.68,0.24,32.54,2001-03-02
"62",62,0.68,0.24,32.17,2001-03-03
"63",63,0.69,0.25,31.55,2001-03-04
"64",64,0.69,0.26,30.89,2001-03-05
"65",65,0.69,0.26,30.59,2001-03-06
"66",66,0.69,0.25,30.45,2001-03-07
"67",67,0.69,0.25,30.46,2001-03-08
"68",68,0.69,0.24,30.64,2001-03-09
"69",69,0.7,0.24,30.77,2001-03-10
"70",70,0.69,0.23,31.09,2001-03-11
"71",71,0.7,0.23,31.41,2001-03-12
"72",72,0.7,0.23,31.72,2001-03-13
"73",73,0.7,0.23,32.06,2001-03-14
"74",74,0.7,0.22,32.46,2001-03-15
"75",75,0.7,0.22,32.62,2001-03-16
"76",76,0.7,0.23,32.41,2001-03-17
"77",77,0.7,0.23,32.11,2001-03-18
"78",78,0.69,0.23,32.03,2001-03-19
"79",79,0.69,0.23,31.89,2001-03-20
"80",80,0.69,0.23,31.26,2001-03-21
"81",81,0.69,0.23,30.67,2001-03-22
"82",82,0.69,0.23,30.49,2001-03-23
"83",83,0.69,0.23,30.14,2001-03-24
"84",84,0.68,0.23,29.91,2001-03-25
"85",85,0.68,0.22,29.79,2001-03-26
"86",86,0.68,0.22,29.87,2001-03-27
"87",87,0.68,0.22,29.71,2001-03-28
"88",88,0.67,0.22,29.58,2001-03-29
"89",89,0.67,0.22,29.46,2001-03-30
"90",90,0.67,0.22,28.93,2001-03-31
"91",91,0.66,0.22,28.85,2001-04-01
"92",92,0.66,0.22,29.16,2001-04-02
"93",93,0.65,0.22,29.44,2001-04-03
"94",94,0.65,0.21,29.62,2001-04-04
"95",95,0.64,0.21,29.47,2001-04-05
"96",96,0.64,0.21,29.02,2001-04-06
"97",97,0.63,0.21,28.82,2001-04-07
"98",98,0.63,0.21,29.14,2001-04-08
"99",99,0.62,0.21,29.1,2001-04-09
"100",100,0.61,0.21,28.62,2001-04-10
"101",101,0.61,0.21,28.18,2001-04-11
"102",102,0.6,0.21,27.84,2001-04-12
"103",103,0.59,0.22,27.61,2001-04-13
"104",104,0.59,0.22,27.51,2001-04-14
"105",105,0.58,0.21,27.21,2001-04-15
"106",106,0.57,0.21,27.08,2001-04-16
"107",107,0.56,0.21,27.16,2001-04-17
"108",108,0.56,0.21,27.22,2001-04-18
"109",109,0.55,0.21,26.98,2001-04-19
"110",110,0.54,0.21,26.72,2001-04-20
"111",111,0.54,0.21,26.58,2001-04-21
"112",112,0.53,0.21,26.55,2001-04-22
"113",113,0.52,0.21,26.48,2001-04-23
"114",114,0.52,0.21,26.33,2001-04-24
"115",115,0.51,0.21,25.99,2001-04-25
"116",116,0.51,0.21,25.53,2001-04-26
"117",117,0.5,0.21,25.23,2001-04-27
"118",118,0.5,0.21,25.05,2001-04-28
"119",119,0.49,0.21,24.97,2001-04-29
"120",120,0.49,0.21,24.39,2001-04-30
"121",121,0.48,0.21,24.14,2001-05-01
"122",122,0.48,0.21,24.12,2001-05-02
"123",123,0.47,0.21,23.87,2001-05-03
"124",124,0.47,0.2,23.66,2001-05-04
"125",125,0.47,0.2,23.53,2001-05-05
"126",126,0.46,0.2,23.27,2001-05-06
"127",127,0.46,0.2,23.51,2001-05-07
"128",128,0.46,0.2,23.4,2001-05-08
"129",129,0.46,0.2,23.47,2001-05-09
"130",130,0.45,0.2,23.1,2001-05-10
"131",131,0.45,0.21,22.62,2001-05-11
"132",132,0.45,0.21,22.21,2001-05-12
"133",133,0.45,0.21,21.86,2001-05-13
"134",134,0.45,0.2,21.59,2001-05-14
"135",135,0.44,0.2,21.4,2001-05-15
"136",136,0.44,0.2,21.44,2001-05-16
"137",137,0.44,0.2,21.46,2001-05-17
"138",138,0.44,0.21,21.23,2001-05-18
"139",139,0.44,0.21,21.14,2001-05-19
"140",140,0.44,0.21,20.76,2001-05-20
"141",141,0.44,0.21,20.34,2001-05-21
"142",142,0.43,0.22,20.15,2001-05-22
"143",143,0.43,0.21,20.13,2001-05-23
"144",144,0.43,0.21,20.13,2001-05-24
"145",145,0.43,0.22,19.88,2001-05-25
"146",146,0.42,0.22,19.59,2001-05-26
"147",147,0.42,0.22,19.53,2001-05-27
"148",148,0.42,0.21,19.26,2001-05-28
"149",149,0.42,0.21,18.86,2001-05-29
"150",150,0.41,0.21,18.47,2001-05-30
"151",151,0.41,0.21,18.4,2001-05-31
"152",152,0.41,0.22,18.19,2001-06-01
"153",153,0.4,0.23,18.07,2001-06-02
"154",154,0.4,0.23,18.19,2001-06-03
"155",155,0.4,0.23,18.03,2001-06-04
"156",156,0.39,0.23,17.74,2001-06-05
"157",157,0.39,0.23,17.55,2001-06-06
"158",158,0.38,0.23,17.53,2001-06-07
"159",159,0.38,0.23,17.42,2001-06-08
"160",160,0.38,0.23,17.33,2001-06-09
"161",161,0.37,0.23,17.22,2001-06-10
"162",162,0.37,0.23,17.32,2001-06-11
"163",163,0.37,0.23,17.22,2001-06-12
"164",164,0.36,0.24,16.78,2001-06-13
"165",165,0.36,0.24,16.52,2001-06-14
"166",166,0.36,0.24,16.33,2001-06-15
"167",167,0.36,0.24,16.1,2001-06-16
"168",168,0.36,0.24,15.74,2001-06-17
"169",169,0.35,0.24,15.49,2001-06-18
"170",170,0.35,0.24,15.6,2001-06-19
"171",171,0.35,0.24,15.58,2001-06-20
"172",172,0.35,0.24,15.38,2001-06-21
"173",173,0.35,0.24,15.5,2001-06-22
"174",174,0.35,0.24,15.61,2001-06-23
"175",175,0.34,0.24,15.69,2001-06-24
"176",176,0.34,0.24,15.61,2001-06-25
"177",177,0.34,0.23,15.56,2001-06-26
"178",178,0.34,0.23,15.49,2001-06-27
"179",179,0.34,0.23,15.54,2001-06-28
"180",180,0.34,0.23,15.64,2001-06-29
"181",181,0.34,0.24,15.5,2001-06-30
"182",182,0.34,0.24,15.24,2001-07-01
"183",183,0.34,0.24,15.03,2001-07-02
"184",184,0.34,0.23,15.01,2001-07-03
"185",185,0.34,0.23,15.19,2001-07-04
"186",186,0.34,0.23,15.37,2001-07-05
"187",187,0.34,0.23,15.28,2001-07-06
"188",188,0.34,0.23,15.06,2001-07-07
"189",189,0.34,0.23,14.97,2001-07-08
"190",190,0.34,0.23,15.01,2001-07-09
"191",191,0.34,0.23,15.07,2001-07-10
"192",192,0.34,0.23,15.31,2001-07-11
"193",193,0.34,0.22,15.64,2001-07-12
"194",194,0.34,0.22,15.88,2001-07-13
"195",195,0.34,0.23,15.57,2001-07-14
"196",196,0.34,0.24,15.12,2001-07-15
"197",197,0.34,0.23,14.71,2001-07-16
"198",198,0.33,0.24,14.68,2001-07-17
"199",199,0.33,0.23,14.89,2001-07-18
"200",200,0.33,0.24,14.95,2001-07-19
"201",201,0.32,0.23,14.91,2001-07-20
"202",202,0.32,0.23,15.14,2001-07-21
"203",203,0.32,0.23,15.43,2001-07-22
"204",204,0.32,0.23,15.67,2001-07-23
"205",205,0.32,0.23,15.81,2001-07-24
"206",206,0.31,0.23,15.91,2001-07-25
"207",207,0.31,0.23,16.13,2001-07-26
"208",208,0.31,0.23,16.17,2001-07-27
"209",209,0.31,0.22,16.17,2001-07-28
"210",210,0.31,0.22,16.1,2001-07-29
"211",211,0.3,0.23,16.19,2001-07-30
"212",212,0.3,0.23,16.24,2001-07-31
"213",213,0.3,0.23,16.45,2001-08-01
"214",214,0.3,0.22,16.83,2001-08-02
"215",215,0.3,0.22,16.37,2001-08-03
"216",216,0.3,0.22,16.22,2001-08-04
"217",217,0.3,0.22,16.41,2001-08-05
"218",218,0.3,0.22,16.43,2001-08-06
"219",219,0.3,0.22,16.34,2001-08-07
"220",220,0.3,0.22,16.22,2001-08-08
"221",221,0.3,0.22,16.44,2001-08-09
"222",222,0.3,0.22,17.09,2001-08-10
"223",223,0.3,0.22,17.43,2001-08-11
"224",224,0.29,0.22,17.2,2001-08-12
"225",225,0.29,0.22,17.27,2001-08-13
"226",226,0.29,0.21,17.54,2001-08-14
"227",227,0.29,0.22,17.69,2001-08-15
"228",228,0.29,0.22,18.09,2001-08-16
"229",229,0.29,0.21,18.04,2001-08-17
"230",230,0.29,0.21,17.89,2001-08-18
"231",231,0.29,0.21,17.69,2001-08-19
"232",232,0.28,0.21,17.61,2001-08-20
"233",233,0.28,0.21,18.02,2001-08-21
"234",234,0.28,0.21,18.66,2001-08-22
"235",235,0.28,0.22,18.87,2001-08-23
"236",236,0.28,0.22,18.79,2001-08-24
"237",237,0.28,0.22,18.59,2001-08-25
"238",238,0.27,0.22,18.65,2001-08-26
"239",239,0.27,0.22,18.82,2001-08-27
"240",240,0.27,0.22,19.09,2001-08-28
"241",241,0.27,0.21,19.55,2001-08-29
"242",242,0.27,0.21,20.11,2001-08-30
"243",243,0.27,0.21,20.32,2001-08-31
"244",244,0.27,0.22,20.32,2001-09-01
"245",245,0.26,0.22,20.62,2001-09-02
"246",246,0.26,0.22,20.56,2001-09-03
"247",247,0.26,0.22,20.11,2001-09-04
"248",248,0.26,0.23,20.01,2001-09-05
"249",249,0.26,0.23,20.27,2001-09-06
"250",250,0.26,0.22,20.69,2001-09-07
"251",251,0.25,0.22,20.82,2001-09-08
"252",252,0.25,0.22,20.52,2001-09-09
"253",253,0.25,0.22,20.46,2001-09-10
"254",254,0.25,0.22,20.62,2001-09-11
"255",255,0.24,0.22,21.17,2001-09-12
"256",256,0.24,0.22,21.96,2001-09-13
"257",257,0.24,0.22,22.21,2001-09-14
"258",258,0.24,0.22,22.17,2001-09-15
"259",259,0.23,0.22,21.93,2001-09-16
"260",260,0.23,0.22,21.69,2001-09-17
"261",261,0.22,0.22,22.08,2001-09-18
"262",262,0.22,0.22,22.41,2001-09-19
"263",263,0.22,0.22,22.76,2001-09-20
"264",264,0.21,0.22,23.38,2001-09-21
"265",265,0.21,0.22,23.97,2001-09-22
"266",266,0.2,0.22,24.32,2001-09-23
"267",267,0.2,0.22,24.62,2001-09-24
"268",268,0.2,0.22,24.66,2001-09-25
"269",269,0.19,0.21,24.74,2001-09-26
"270",270,0.19,0.21,25.09,2001-09-27
"271",271,0.18,0.21,25.41,2001-09-28
"272",272,0.18,0.21,25.19,2001-09-29
"273",273,0.18,0.21,24.91,2001-09-30
"274",274,0.18,0.21,24.52,2001-10-01
"275",275,0.17,0.21,24.79,2001-10-02
"276",276,0.17,0.21,24.93,2001-10-03
"277",277,0.17,0.21,25.31,2001-10-04
