"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.08,0.14,30.96,2001-01-01
"2",2,0.08,0.14,31.13,2001-01-02
"3",3,0.08,0.15,30.94,2001-01-03
"4",4,0.09,0.15,31.07,2001-01-04
"5",5,0.09,0.15,31.29,2001-01-05
"6",6,0.09,0.15,31.06,2001-01-06
"7",7,0.1,0.15,31.22,2001-01-07
"8",8,0.1,0.15,31.08,2001-01-08
"9",9,0.11,0.15,31.47,2001-01-09
"10",10,0.11,0.15,31.47,2001-01-10
"11",11,0.12,0.15,31.04,2001-01-11
"12",12,0.13,0.16,30.68,2001-01-12
"13",13,0.14,0.16,30.51,2001-01-13
"14",14,0.14,0.16,30.33,2001-01-14
"15",15,0.15,0.16,30.77,2001-01-15
"16",16,0.15,0.16,30.83,2001-01-16
"17",17,0.16,0.15,30.99,2001-01-17
"18",18,0.17,0.15,31.41,2001-01-18
"19",19,0.17,0.15,31.17,2001-01-19
"20",20,0.18,0.15,30.67,2001-01-20
"21",21,0.19,0.15,30.95,2001-01-21
"22",22,0.19,0.16,31.21,2001-01-22
"23",23,0.2,0.16,31.54,2001-01-23
"24",24,0.21,0.16,31.46,2001-01-24
"25",25,0.21,0.16,30.84,2001-01-25
"26",26,0.22,0.16,30.71,2001-01-26
"27",27,0.22,0.16,30.68,2001-01-27
"28",28,0.23,0.16,30.48,2001-01-28
"29",29,0.24,0.16,30.35,2001-01-29
"30",30,0.24,0.16,29.96,2001-01-30
"31",31,0.25,0.16,29.39,2001-01-31
"32",32,0.25,0.16,28.47,2001-02-01
"33",33,0.26,0.16,28.39,2001-02-02
"34",34,0.27,0.16,28.6,2001-02-03
"35",35,0.28,0.16,29.19,2001-02-04
"36",36,0.28,0.15,29.28,2001-02-05
"37",37,0.29,0.15,29.68,2001-02-06
"38",38,0.3,0.15,29.76,2001-02-07
"39",39,0.3,0.15,29.13,2001-02-08
"40",40,0.31,0.15,29.52,2001-02-09
"41",41,0.32,0.15,30.18,2001-02-10
"42",42,0.32,0.16,30.73,2001-02-11
"43",43,0.33,0.16,30.41,2001-02-12
"44",44,0.34,0.17,30.02,2001-02-13
"45",45,0.35,0.16,29.98,2001-02-14
"46",46,0.35,0.16,30.52,2001-02-15
"47",47,0.36,0.17,30.52,2001-02-16
"48",48,0.36,0.19,30.29,2001-02-17
"49",49,0.37,0.18,29.78,2001-02-18
"50",50,0.37,0.18,28.87,2001-02-19
"51",51,0.37,0.18,28.43,2001-02-20
"52",52,0.38,0.19,28.02,2001-02-21
"53",53,0.38,0.19,27.91,2001-02-22
"54",54,0.38,0.19,27.79,2001-02-23
"55",55,0.39,0.19,28.2,2001-02-24
"56",56,0.39,0.19,28.63,2001-02-25
"57",57,0.39,0.18,28.78,2001-02-26
"58",58,0.39,0.18,28.4,2001-02-27
"59",59,0.39,0.18,27.24,2001-02-28
"60",60,0.42,0.19,25.96,2001-03-01
"61",61,0.4,0.19,26.44,2001-03-02
"62",62,0.4,0.19,26.19,2001-03-03
"63",63,0.4,0.19,26.22,2001-03-04
"64",64,0.4,0.19,26,2001-03-05
"65",65,0.4,0.19,26.34,2001-03-06
"66",66,0.4,0.18,26.58,2001-03-07
"67",67,0.41,0.17,27.27,2001-03-08
"68",68,0.41,0.17,27.67,2001-03-09
"69",69,0.41,0.17,27.59,2001-03-10
"70",70,0.41,0.16,27.45,2001-03-11
"71",71,0.41,0.16,27.42,2001-03-12
"72",72,0.42,0.16,27.57,2001-03-13
"73",73,0.42,0.16,27.83,2001-03-14
"74",74,0.42,0.16,27.72,2001-03-15
"75",75,0.42,0.15,27.6,2001-03-16
"76",76,0.42,0.15,27.82,2001-03-17
"77",77,0.43,0.15,27.76,2001-03-18
"78",78,0.43,0.16,27.18,2001-03-19
"79",79,0.43,0.16,26.86,2001-03-20
"80",80,0.43,0.16,26.71,2001-03-21
"81",81,0.43,0.16,26.57,2001-03-22
"82",82,0.43,0.17,26,2001-03-23
"83",83,0.44,0.17,25.61,2001-03-24
"84",84,0.44,0.17,25.69,2001-03-25
"85",85,0.44,0.17,25.56,2001-03-26
"86",86,0.44,0.17,25.21,2001-03-27
"87",87,0.44,0.17,25.24,2001-03-28
"88",88,0.44,0.17,24.91,2001-03-29
"89",89,0.44,0.16,24.87,2001-03-30
"90",90,0.44,0.16,24.67,2001-03-31
"91",91,0.44,0.16,23.84,2001-04-01
"92",92,0.44,0.16,23.19,2001-04-02
"93",93,0.43,0.16,23.16,2001-04-03
"94",94,0.43,0.16,23.43,2001-04-04
"95",95,0.43,0.16,23.95,2001-04-05
"96",96,0.43,0.16,24.02,2001-04-06
