"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.17,0.12,33.11,2001-01-01
"2",2,0.17,0.12,33.34,2001-01-02
"3",3,0.17,0.12,33.64,2001-01-03
"4",4,0.18,0.13,33.83,2001-01-04
"5",5,0.18,0.13,34.33,2001-01-05
"6",6,0.18,0.13,34.23,2001-01-06
"7",7,0.19,0.13,33.86,2001-01-07
"8",8,0.19,0.13,33.5,2001-01-08
"9",9,0.2,0.14,33.28,2001-01-09
"10",10,0.2,0.13,33.43,2001-01-10
"11",11,0.21,0.13,33.05,2001-01-11
"12",12,0.22,0.13,32.99,2001-01-12
"13",13,0.23,0.13,32.48,2001-01-13
"14",14,0.23,0.13,32.64,2001-01-14
"15",15,0.24,0.13,33.5,2001-01-15
"16",16,0.25,0.12,33.97,2001-01-16
"17",17,0.25,0.12,33.56,2001-01-17
"18",18,0.26,0.12,34.03,2001-01-18
"19",19,0.27,0.13,34.17,2001-01-19
"20",20,0.28,0.13,33.74,2001-01-20
"21",21,0.28,0.13,33.24,2001-01-21
"22",22,0.29,0.13,33.59,2001-01-22
"23",23,0.3,0.13,33.89,2001-01-23
"24",24,0.3,0.13,33.73,2001-01-24
"25",25,0.31,0.13,33.71,2001-01-25
"26",26,0.32,0.13,33.5,2001-01-26
"27",27,0.33,0.13,33.5,2001-01-27
"28",28,0.34,0.13,33.6,2001-01-28
"29",29,0.35,0.13,33.26,2001-01-29
"30",30,0.35,0.13,32.71,2001-01-30
"31",31,0.36,0.14,32.14,2001-01-31
"32",32,0.37,0.15,31.37,2001-02-01
"33",33,0.38,0.15,31.02,2001-02-02
"34",34,0.39,0.14,30.98,2001-02-03
"35",35,0.39,0.14,31.74,2001-02-04
"36",36,0.4,0.14,32.02,2001-02-05
"37",37,0.41,0.13,32.22,2001-02-06
"38",38,0.42,0.13,32.26,2001-02-07
"39",39,0.43,0.14,31.86,2001-02-08
"40",40,0.43,0.14,31.73,2001-02-09
"41",41,0.44,0.14,31.99,2001-02-10
"42",42,0.45,0.13,32.22,2001-02-11
"43",43,0.46,0.14,32.11,2001-02-12
"44",44,0.46,0.15,32.18,2001-02-13
"45",45,0.47,0.14,32.6,2001-02-14
"46",46,0.47,0.14,32.69,2001-02-15
"47",47,0.48,0.15,32.72,2001-02-16
"48",48,0.48,0.15,33.06,2001-02-17
"49",49,0.49,0.15,32.4,2001-02-18
