"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.06,0.15,30.94,2001-01-01
"2",2,0.06,0.15,30.66,2001-01-02
"3",3,0.06,0.15,30.66,2001-01-03
"4",4,0.06,0.14,30.82,2001-01-04
"5",5,0.06,0.14,31.43,2001-01-05
"6",6,0.06,0.14,31.9,2001-01-06
"7",7,0.06,0.14,31.9,2001-01-07
"8",8,0.06,0.14,31.33,2001-01-08
"9",9,0.06,0.14,31.12,2001-01-09
"10",10,0.06,0.14,31.56,2001-01-10
"11",11,0.07,0.15,32.09,2001-01-11
"12",12,0.07,0.15,32.17,2001-01-12
"13",13,0.07,0.15,31.65,2001-01-13
"14",14,0.07,0.16,30.98,2001-01-14
"15",15,0.08,0.15,31.42,2001-01-15
"16",16,0.08,0.15,31.26,2001-01-16
"17",17,0.08,0.15,31.11,2001-01-17
"18",18,0.09,0.16,31.13,2001-01-18
"19",19,0.09,0.16,31.57,2001-01-19
"20",20,0.1,0.16,31.92,2001-01-20
"21",21,0.1,0.16,31.76,2001-01-21
"22",22,0.1,0.15,31.74,2001-01-22
"23",23,0.11,0.15,32.17,2001-01-23
"24",24,0.11,0.15,31.54,2001-01-24
"25",25,0.12,0.15,31.5,2001-01-25
"26",26,0.12,0.15,32.02,2001-01-26
"27",27,0.13,0.15,31.82,2001-01-27
"28",28,0.13,0.15,31.74,2001-01-28
"29",29,0.14,0.15,31.73,2001-01-29
"30",30,0.15,0.15,31.48,2001-01-30
"31",31,0.15,0.15,31.14,2001-01-31
"32",32,0.16,0.15,31.02,2001-02-01
"33",33,0.17,0.15,30.28,2001-02-02
"34",34,0.17,0.16,30.05,2001-02-03
"35",35,0.18,0.16,30.2,2001-02-04
"36",36,0.19,0.17,30.62,2001-02-05
"37",37,0.2,0.17,30.58,2001-02-06
"38",38,0.21,0.16,30.76,2001-02-07
"39",39,0.21,0.16,31.18,2001-02-08
"40",40,0.22,0.16,31.08,2001-02-09
"41",41,0.23,0.16,30.89,2001-02-10
"42",42,0.24,0.16,30.83,2001-02-11
"43",43,0.25,0.16,30.77,2001-02-12
"44",44,0.26,0.16,30.36,2001-02-13
"45",45,0.27,0.16,30.33,2001-02-14
"46",46,0.27,0.16,30.26,2001-02-15
"47",47,0.28,0.16,29.86,2001-02-16
"48",48,0.29,0.16,29.74,2001-02-17
"49",49,0.3,0.16,29.93,2001-02-18
"50",50,0.31,0.15,29.91,2001-02-19
"51",51,0.32,0.16,29.5,2001-02-20
"52",52,0.33,0.16,29.47,2001-02-21
"53",53,0.33,0.16,29.71,2001-02-22
"54",54,0.34,0.16,29.97,2001-02-23
"55",55,0.35,0.15,30.08,2001-02-24
"56",56,0.36,0.15,29.72,2001-02-25
"57",57,0.36,0.15,29.93,2001-02-26
"58",58,0.37,0.15,30.11,2001-02-27
"59",59,0.38,0.16,29.22,2001-02-28
"60",60,0.35,0.16,28.26,2001-03-01
"61",61,0.39,0.17,27.77,2001-03-02
"62",62,0.4,0.17,28.28,2001-03-03
"63",63,0.41,0.17,28.03,2001-03-04
"64",64,0.41,0.17,27.74,2001-03-05
