"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.11,0.26,28.99,2001-01-01
"2",2,0.12,0.26,28.57,2001-01-02
"3",3,0.12,0.26,28.71,2001-01-03
"4",4,0.12,0.26,28.97,2001-01-04
"5",5,0.13,0.26,29.45,2001-01-05
"6",6,0.13,0.26,29.54,2001-01-06
"7",7,0.14,0.26,29.55,2001-01-07
"8",8,0.14,0.26,29.04,2001-01-08
"9",9,0.15,0.26,28.87,2001-01-09
"10",10,0.16,0.26,29.52,2001-01-10
"11",11,0.16,0.26,29.87,2001-01-11
"12",12,0.17,0.26,29.85,2001-01-12
"13",13,0.18,0.27,29.11,2001-01-13
"14",14,0.18,0.27,28.79,2001-01-14
"15",15,0.19,0.27,29.05,2001-01-15
"16",16,0.2,0.26,29.4,2001-01-16
"17",17,0.21,0.26,29.47,2001-01-17
"18",18,0.21,0.26,29.23,2001-01-18
"19",19,0.22,0.27,29.58,2001-01-19
"20",20,0.23,0.27,30.03,2001-01-20
"21",21,0.24,0.27,30.01,2001-01-21
"22",22,0.24,0.27,29.81,2001-01-22
"23",23,0.25,0.26,30.25,2001-01-23
"24",24,0.26,0.26,29.91,2001-01-24
"25",25,0.26,0.26,30.07,2001-01-25
"26",26,0.27,0.26,30.32,2001-01-26
"27",27,0.28,0.26,30.09,2001-01-27
"28",28,0.28,0.26,30.09,2001-01-28
"29",29,0.29,0.26,29.92,2001-01-29
"30",30,0.29,0.26,29.43,2001-01-30
"31",31,0.3,0.26,29.09,2001-01-31
"32",32,0.3,0.26,29.1,2001-02-01
"33",33,0.3,0.26,28.85,2001-02-02
"34",34,0.31,0.27,28.82,2001-02-03
"35",35,0.31,0.28,28.84,2001-02-04
"36",36,0.32,0.29,28.62,2001-02-05
"37",37,0.32,0.29,28.4,2001-02-06
"38",38,0.32,0.28,28.89,2001-02-07
"39",39,0.32,0.28,29.07,2001-02-08
"40",40,0.32,0.28,28.74,2001-02-09
"41",41,0.32,0.27,28.57,2001-02-10
"42",42,0.33,0.27,28.52,2001-02-11
"43",43,0.33,0.27,28.61,2001-02-12
"44",44,0.33,0.27,28.42,2001-02-13
"45",45,0.33,0.27,28.34,2001-02-14
"46",46,0.33,0.28,28.59,2001-02-15
"47",47,0.33,0.28,28.12,2001-02-16
"48",48,0.34,0.28,28.04,2001-02-17
"49",49,0.34,0.27,28.27,2001-02-18
"50",50,0.34,0.27,28.39,2001-02-19
"51",51,0.34,0.27,27.88,2001-02-20
"52",52,0.35,0.27,27.79,2001-02-21
"53",53,0.35,0.27,27.81,2001-02-22
"54",54,0.36,0.27,28.21,2001-02-23
"55",55,0.36,0.26,28.22,2001-02-24
"56",56,0.36,0.26,28.06,2001-02-25
"57",57,0.37,0.26,27.96,2001-02-26
"58",58,0.38,0.26,27.98,2001-02-27
"59",59,0.38,0.27,27.25,2001-02-28
"60",60,0.35,0.27,26.65,2001-03-01
"61",61,0.39,0.27,26.34,2001-03-02
"62",62,0.4,0.27,26.73,2001-03-03
"63",63,0.4,0.27,26.56,2001-03-04
"64",64,0.41,0.27,26.33,2001-03-05
"65",65,0.42,0.27,26.53,2001-03-06
"66",66,0.42,0.28,26.59,2001-03-07
"67",67,0.43,0.27,26.53,2001-03-08
"68",68,0.44,0.27,26.66,2001-03-09
"69",69,0.44,0.27,26.9,2001-03-10
"70",70,0.45,0.27,27.06,2001-03-11
"71",71,0.46,0.27,26.59,2001-03-12
"72",72,0.47,0.27,26.42,2001-03-13
"73",73,0.47,0.27,26.31,2001-03-14
"74",74,0.48,0.27,26.24,2001-03-15
"75",75,0.49,0.27,25.61,2001-03-16
"76",76,0.5,0.27,25.15,2001-03-17
"77",77,0.5,0.27,25.09,2001-03-18
"78",78,0.51,0.27,24.94,2001-03-19
"79",79,0.52,0.27,24.83,2001-03-20
"80",80,0.52,0.28,24.44,2001-03-21
"81",81,0.53,0.27,23.86,2001-03-22
"82",82,0.54,0.27,23.91,2001-03-23
"83",83,0.55,0.27,23.69,2001-03-24
"84",84,0.55,0.27,23.43,2001-03-25
"85",85,0.56,0.28,23.18,2001-03-26
"86",86,0.56,0.28,23.09,2001-03-27
"87",87,0.57,0.28,22.77,2001-03-28
"88",88,0.58,0.28,22.66,2001-03-29
"89",89,0.58,0.27,22.3,2001-03-30
"90",90,0.59,0.27,22.28,2001-03-31
"91",91,0.59,0.27,22.52,2001-04-01
"92",92,0.6,0.27,22.34,2001-04-02
"93",93,0.6,0.27,22,2001-04-03
"94",94,0.61,0.26,21.62,2001-04-04
"95",95,0.61,0.26,21.72,2001-04-05
"96",96,0.62,0.26,21.77,2001-04-06
"97",97,0.62,0.26,21.65,2001-04-07
"98",98,0.62,0.26,21.63,2001-04-08
"99",99,0.63,0.27,21.54,2001-04-09
"100",100,0.63,0.27,21.39,2001-04-10
"101",101,0.63,0.27,21.32,2001-04-11
"102",102,0.63,0.27,21.35,2001-04-12
"103",103,0.64,0.27,21.14,2001-04-13
"104",104,0.64,0.27,20.91,2001-04-14
"105",105,0.64,0.27,20.64,2001-04-15
"106",106,0.65,0.27,20.52,2001-04-16
"107",107,0.65,0.27,20.39,2001-04-17
"108",108,0.66,0.27,20.24,2001-04-18
"109",109,0.66,0.27,19.97,2001-04-19
"110",110,0.66,0.27,19.62,2001-04-20
"111",111,0.67,0.27,19.53,2001-04-21
"112",112,0.67,0.27,19.74,2001-04-22
"113",113,0.68,0.27,19.9,2001-04-23
"114",114,0.68,0.28,19.32,2001-04-24
"115",115,0.69,0.28,18.8,2001-04-25
"116",116,0.7,0.28,18.4,2001-04-26
"117",117,0.7,0.28,17.93,2001-04-27
"118",118,0.71,0.28,17.91,2001-04-28
"119",119,0.72,0.28,17.68,2001-04-29
"120",120,0.72,0.28,17.37,2001-04-30
"121",121,0.73,0.28,17.29,2001-05-01
"122",122,0.74,0.28,17.11,2001-05-02
"123",123,0.74,0.28,16.77,2001-05-03
"124",124,0.75,0.28,16.59,2001-05-04
"125",125,0.76,0.28,16.48,2001-05-05
"126",126,0.76,0.28,16.45,2001-05-06
"127",127,0.76,0.28,16.29,2001-05-07
"128",128,0.77,0.27,16.42,2001-05-08
"129",129,0.77,0.28,16.38,2001-05-09
"130",130,0.77,0.28,16.26,2001-05-10
"131",131,0.77,0.28,15.89,2001-05-11
"132",132,0.77,0.28,15.71,2001-05-12
"133",133,0.77,0.28,15.52,2001-05-13
"134",134,0.77,0.28,15.5,2001-05-14
"135",135,0.77,0.28,15.62,2001-05-15
"136",136,0.77,0.28,15.58,2001-05-16
"137",137,0.76,0.28,15.4,2001-05-17
"138",138,0.76,0.29,15.19,2001-05-18
"139",139,0.76,0.29,15.04,2001-05-19
"140",140,0.75,0.29,14.98,2001-05-20
"141",141,0.75,0.29,14.97,2001-05-21
"142",142,0.75,0.29,14.76,2001-05-22
"143",143,0.74,0.29,14.83,2001-05-23
"144",144,0.74,0.29,14.7,2001-05-24
"145",145,0.74,0.29,14.49,2001-05-25
"146",146,0.74,0.3,14.22,2001-05-26
"147",147,0.73,0.3,14.03,2001-05-27
"148",148,0.73,0.3,13.82,2001-05-28
"149",149,0.73,0.3,13.44,2001-05-29
"150",150,0.73,0.3,12.94,2001-05-30
"151",151,0.73,0.3,12.91,2001-05-31
"152",152,0.73,0.31,12.85,2001-06-01
"153",153,0.73,0.31,12.79,2001-06-02
"154",154,0.73,0.31,12.73,2001-06-03
"155",155,0.73,0.31,12.61,2001-06-04
"156",156,0.73,0.32,12.59,2001-06-05
"157",157,0.73,0.32,12.71,2001-06-06
"158",158,0.73,0.32,12.57,2001-06-07
"159",159,0.73,0.32,12.34,2001-06-08
"160",160,0.73,0.32,12.29,2001-06-09
"161",161,0.74,0.32,12.33,2001-06-10
"162",162,0.74,0.33,12.32,2001-06-11
"163",163,0.74,0.33,12.26,2001-06-12
"164",164,0.74,0.33,11.91,2001-06-13
"165",165,0.75,0.33,11.48,2001-06-14
"166",166,0.75,0.34,11.4,2001-06-15
"167",167,0.75,0.34,11.39,2001-06-16
"168",168,0.76,0.34,11.29,2001-06-17
"169",169,0.76,0.34,11.33,2001-06-18
"170",170,0.77,0.34,11.36,2001-06-19
"171",171,0.77,0.34,11.4,2001-06-20
"172",172,0.78,0.34,11.33,2001-06-21
"173",173,0.78,0.34,11.18,2001-06-22
"174",174,0.79,0.34,11.26,2001-06-23
"175",175,0.79,0.33,11.23,2001-06-24
"176",176,0.8,0.34,11.12,2001-06-25
"177",177,0.8,0.34,10.94,2001-06-26
"178",178,0.81,0.34,10.72,2001-06-27
"179",179,0.81,0.34,10.71,2001-06-28
"180",180,0.82,0.34,10.84,2001-06-29
"181",181,0.83,0.34,10.87,2001-06-30
"182",182,0.83,0.34,10.7,2001-07-01
"183",183,0.84,0.34,10.48,2001-07-02
"184",184,0.85,0.34,10.66,2001-07-03
"185",185,0.86,0.34,10.89,2001-07-04
"186",186,0.86,0.34,10.76,2001-07-05
"187",187,0.87,0.34,10.46,2001-07-06
"188",188,0.88,0.34,10.42,2001-07-07
"189",189,0.89,0.34,10.37,2001-07-08
"190",190,0.9,0.34,10.34,2001-07-09
"191",191,0.91,0.34,10.64,2001-07-10
"192",192,0.92,0.34,10.67,2001-07-11
"193",193,0.93,0.35,10.62,2001-07-12
"194",194,0.95,0.35,10.51,2001-07-13
"195",195,0.96,0.35,10.27,2001-07-14
"196",196,0.97,0.35,10.27,2001-07-15
"197",197,0.99,0.35,10.37,2001-07-16
"198",198,1,0.35,10.47,2001-07-17
"199",199,1.02,0.35,10.39,2001-07-18
"200",200,1.03,0.35,10.27,2001-07-19
"201",201,1.05,0.35,10.12,2001-07-20
"202",202,1.06,0.35,10.29,2001-07-21
"203",203,1.08,0.34,10.48,2001-07-22
"204",204,1.1,0.34,10.63,2001-07-23
"205",205,1.11,0.34,10.61,2001-07-24
"206",206,1.13,0.35,10.69,2001-07-25
"207",207,1.14,0.34,10.8,2001-07-26
"208",208,1.16,0.35,10.88,2001-07-27
"209",209,1.17,0.34,10.96,2001-07-28
"210",210,1.19,0.34,11.18,2001-07-29
"211",211,1.2,0.34,11.25,2001-07-30
"212",212,1.21,0.34,11.42,2001-07-31
"213",213,1.23,0.34,11.26,2001-08-01
"214",214,1.24,0.34,11.27,2001-08-02
"215",215,1.25,0.34,11.11,2001-08-03
"216",216,1.26,0.34,11.09,2001-08-04
"217",217,1.28,0.34,11.23,2001-08-05
"218",218,1.29,0.34,11.23,2001-08-06
"219",219,1.31,0.34,11.04,2001-08-07
"220",220,1.32,0.33,10.97,2001-08-08
"221",221,1.33,0.33,11.22,2001-08-09
"222",222,1.35,0.33,11.39,2001-08-10
"223",223,1.37,0.33,11.39,2001-08-11
"224",224,1.39,0.33,11.16,2001-08-12
"225",225,1.41,0.33,11.26,2001-08-13
"226",226,1.43,0.33,11.54,2001-08-14
"227",227,1.45,0.33,11.77,2001-08-15
"228",228,1.47,0.33,11.97,2001-08-16
"229",229,1.49,0.33,11.73,2001-08-17
"230",230,1.52,0.33,11.63,2001-08-18
"231",231,1.54,0.33,11.56,2001-08-19
"232",232,1.56,0.33,11.61,2001-08-20
"233",233,1.59,0.33,11.69,2001-08-21
"234",234,1.61,0.32,12.09,2001-08-22
"235",235,1.63,0.33,12.39,2001-08-23
"236",236,1.65,0.33,12.31,2001-08-24
"237",237,1.68,0.33,12.22,2001-08-25
"238",238,1.69,0.33,12.39,2001-08-26
"239",239,1.71,0.33,12.51,2001-08-27
"240",240,1.73,0.32,12.76,2001-08-28
"241",241,1.74,0.32,13.18,2001-08-29
"242",242,1.75,0.32,13.42,2001-08-30
"243",243,1.76,0.32,13.33,2001-08-31
"244",244,1.77,0.32,13.28,2001-09-01
"245",245,1.78,0.32,13.62,2001-09-02
"246",246,1.78,0.32,13.76,2001-09-03
"247",247,1.78,0.32,13.77,2001-09-04
"248",248,1.78,0.32,13.89,2001-09-05
"249",249,1.78,0.32,13.86,2001-09-06
"250",250,1.78,0.32,13.82,2001-09-07
"251",251,1.78,0.32,14.01,2001-09-08
"252",252,1.77,0.32,14.31,2001-09-09
