"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.11,0.17,28.81,2001-01-01
"2",2,0.11,0.17,28.63,2001-01-02
"3",3,0.12,0.17,28.81,2001-01-03
"4",4,0.12,0.17,28.87,2001-01-04
"5",5,0.12,0.17,29.32,2001-01-05
"6",6,0.13,0.16,29.65,2001-01-06
"7",7,0.13,0.16,29.67,2001-01-07
"8",8,0.14,0.16,29.18,2001-01-08
"9",9,0.14,0.16,28.84,2001-01-09
"10",10,0.15,0.16,29.3,2001-01-10
"11",11,0.15,0.16,29.75,2001-01-11
"12",12,0.16,0.16,30.35,2001-01-12
"13",13,0.16,0.16,29.82,2001-01-13
"14",14,0.17,0.16,29.56,2001-01-14
"15",15,0.18,0.16,29.97,2001-01-15
"16",16,0.18,0.16,29.89,2001-01-16
"17",17,0.19,0.16,29.72,2001-01-17
"18",18,0.19,0.16,29.55,2001-01-18
"19",19,0.2,0.17,29.75,2001-01-19
"20",20,0.21,0.17,30.08,2001-01-20
"21",21,0.22,0.17,30.08,2001-01-21
"22",22,0.22,0.17,30.14,2001-01-22
"23",23,0.23,0.17,30.65,2001-01-23
"24",24,0.24,0.16,30.12,2001-01-24
"25",25,0.24,0.16,30.11,2001-01-25
"26",26,0.25,0.16,30.44,2001-01-26
"27",27,0.26,0.16,29.99,2001-01-27
"28",28,0.27,0.16,30.08,2001-01-28
"29",29,0.28,0.16,30.22,2001-01-29
"30",30,0.28,0.16,29.98,2001-01-30
"31",31,0.29,0.16,29.71,2001-01-31
"32",32,0.3,0.16,29.68,2001-02-01
"33",33,0.31,0.17,29.02,2001-02-02
"34",34,0.32,0.17,29.03,2001-02-03
"35",35,0.32,0.17,29.06,2001-02-04
"36",36,0.33,0.18,29.08,2001-02-05
"37",37,0.34,0.18,28.99,2001-02-06
"38",38,0.35,0.17,29.26,2001-02-07
"39",39,0.36,0.17,29.73,2001-02-08
"40",40,0.37,0.17,29.61,2001-02-09
"41",41,0.37,0.17,29.53,2001-02-10
"42",42,0.38,0.17,29.5,2001-02-11
"43",43,0.39,0.17,29.06,2001-02-12
"44",44,0.4,0.17,28.73,2001-02-13
"45",45,0.4,0.17,28.61,2001-02-14
"46",46,0.41,0.18,28.63,2001-02-15
"47",47,0.42,0.18,28.23,2001-02-16
"48",48,0.43,0.18,28.34,2001-02-17
