"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,1.78,0.29,28.35,2001-01-01
"2",2,1.83,0.29,28.5,2001-01-02
"3",3,1.88,0.29,28.67,2001-01-03
"4",4,1.92,0.28,28.69,2001-01-04
"5",5,1.97,0.28,28.61,2001-01-05
"6",6,2.01,0.28,28.43,2001-01-06
"7",7,2.05,0.28,28.31,2001-01-07
"8",8,2.09,0.28,28.36,2001-01-08
"9",9,2.13,0.29,28.23,2001-01-09
"10",10,2.16,0.29,28.12,2001-01-10
"11",11,2.19,0.29,27.71,2001-01-11
"12",12,2.22,0.29,27.53,2001-01-12
"13",13,2.26,0.29,27.53,2001-01-13
"14",14,2.28,0.29,27.67,2001-01-14
"15",15,2.31,0.3,27.65,2001-01-15
"16",16,2.33,0.31,27.17,2001-01-16
"17",17,2.35,0.3,27.29,2001-01-17
"18",18,2.37,0.3,27.39,2001-01-18
"19",19,2.39,0.29,27.65,2001-01-19
"20",20,2.41,0.29,27.68,2001-01-20
"21",21,2.42,0.29,27.81,2001-01-21
"22",22,2.44,0.3,27.68,2001-01-22
"23",23,2.45,0.3,27.5,2001-01-23
"24",24,2.46,0.31,27.36,2001-01-24
"25",25,2.47,0.32,27,2001-01-25
"26",26,2.48,0.33,26.76,2001-01-26
"27",27,2.5,0.33,26.86,2001-01-27
"28",28,2.5,0.33,27.14,2001-01-28
"29",29,2.52,0.32,27.34,2001-01-29
"30",30,2.53,0.32,27.25,2001-01-30
"31",31,2.54,0.33,27.11,2001-01-31
"32",32,2.55,0.33,27.23,2001-02-01
"33",33,2.57,0.33,27.16,2001-02-02
"34",34,2.58,0.33,26.84,2001-02-03
"35",35,2.6,0.33,26.47,2001-02-04
"36",36,2.61,0.33,26.51,2001-02-05
"37",37,2.63,0.33,26.64,2001-02-06
"38",38,2.65,0.33,26.58,2001-02-07
"39",39,2.67,0.33,26.42,2001-02-08
"40",40,2.69,0.33,26.5,2001-02-09
"41",41,2.7,0.33,26.64,2001-02-10
"42",42,2.72,0.32,26.86,2001-02-11
"43",43,2.74,0.32,26.95,2001-02-12
"44",44,2.76,0.32,26.92,2001-02-13
"45",45,2.78,0.32,26.84,2001-02-14
"46",46,2.8,0.32,26.82,2001-02-15
"47",47,2.81,0.32,26.69,2001-02-16
"48",48,2.83,0.33,26.53,2001-02-17
"49",49,2.84,0.33,26.47,2001-02-18
"50",50,2.86,0.33,26.74,2001-02-19
"51",51,2.87,0.32,27.09,2001-02-20
"52",52,2.88,0.32,27.25,2001-02-21
"53",53,2.89,0.32,27.07,2001-02-22
"54",54,2.9,0.33,26.64,2001-02-23
"55",55,2.9,0.34,26.31,2001-02-24
"56",56,2.91,0.34,26.33,2001-02-25
"57",57,2.91,0.34,26.39,2001-02-26
"58",58,2.91,0.35,26.5,2001-02-27
"59",59,2.91,0.35,26.5,2001-02-28
"60",60,2.73,0.34,26.25,2001-03-01
"61",61,2.91,0.34,26.66,2001-03-02
"62",62,2.9,0.33,26.44,2001-03-03
"63",63,2.89,0.32,26.35,2001-03-04
"64",64,2.88,0.32,26.09,2001-03-05
"65",65,2.87,0.32,26.03,2001-03-06
"66",66,2.85,0.32,26,2001-03-07
"67",67,2.84,0.32,25.95,2001-03-08
"68",68,2.82,0.32,25.77,2001-03-09
"69",69,2.8,0.32,25.65,2001-03-10
"70",70,2.77,0.32,25.71,2001-03-11
"71",71,2.75,0.31,25.41,2001-03-12
"72",72,2.72,0.31,25.32,2001-03-13
"73",73,2.7,0.31,25.42,2001-03-14
"74",74,2.67,0.3,25.61,2001-03-15
"75",75,2.64,0.3,25.85,2001-03-16
"76",76,2.61,0.29,25.96,2001-03-17
"77",77,2.58,0.29,25.88,2001-03-18
"78",78,2.54,0.29,25.97,2001-03-19
"79",79,2.51,0.29,25.74,2001-03-20
"80",80,2.48,0.29,25.82,2001-03-21
"81",81,2.45,0.29,25.97,2001-03-22
"82",82,2.41,0.29,26.06,2001-03-23
"83",83,2.38,0.28,26.01,2001-03-24
"84",84,2.35,0.28,25.96,2001-03-25
"85",85,2.31,0.28,25.82,2001-03-26
"86",86,2.28,0.28,25.84,2001-03-27
"87",87,2.25,0.28,25.93,2001-03-28
"88",88,2.21,0.28,25.84,2001-03-29
"89",89,2.18,0.27,25.75,2001-03-30
"90",90,2.15,0.27,25.8,2001-03-31
"91",91,2.11,0.27,25.63,2001-04-01
"92",92,2.08,0.27,25.59,2001-04-02
"93",93,2.05,0.26,25.52,2001-04-03
"94",94,2.01,0.26,25.54,2001-04-04
"95",95,1.98,0.26,25.39,2001-04-05
"96",96,1.95,0.26,25.19,2001-04-06
"97",97,1.91,0.26,25.02,2001-04-07
"98",98,1.88,0.26,24.91,2001-04-08
"99",99,1.85,0.26,24.82,2001-04-09
"100",100,1.82,0.26,24.68,2001-04-10
"101",101,1.78,0.26,24.62,2001-04-11
"102",102,1.75,0.27,24.62,2001-04-12
"103",103,1.72,0.27,24.52,2001-04-13
"104",104,1.69,0.27,24.56,2001-04-14
"105",105,1.66,0.26,24.53,2001-04-15
"106",106,1.63,0.26,24.49,2001-04-16
"107",107,1.6,0.26,24.39,2001-04-17
"108",108,1.57,0.26,24.27,2001-04-18
"109",109,1.54,0.25,24.32,2001-04-19
"110",110,1.51,0.25,24.25,2001-04-20
"111",111,1.48,0.25,24.16,2001-04-21
"112",112,1.45,0.25,24.08,2001-04-22
"113",113,1.42,0.25,24,2001-04-23
"114",114,1.39,0.24,24.09,2001-04-24
"115",115,1.36,0.24,24.19,2001-04-25
"116",116,1.33,0.24,24,2001-04-26
"117",117,1.31,0.24,23.73,2001-04-27
"118",118,1.28,0.24,23.39,2001-04-28
"119",119,1.25,0.24,23.44,2001-04-29
"120",120,1.23,0.24,23.4,2001-04-30
"121",121,1.2,0.24,23.44,2001-05-01
"122",122,1.18,0.24,23.51,2001-05-02
"123",123,1.15,0.23,23.34,2001-05-03
"124",124,1.13,0.23,23.17,2001-05-04
"125",125,1.1,0.23,22.99,2001-05-05
"126",126,1.08,0.23,22.83,2001-05-06
"127",127,1.06,0.23,22.75,2001-05-07
"128",128,1.04,0.23,22.65,2001-05-08
"129",129,1.02,0.22,22.53,2001-05-09
"130",130,1,0.22,22.49,2001-05-10
"131",131,0.98,0.22,22.15,2001-05-11
"132",132,0.96,0.22,21.76,2001-05-12
"133",133,0.95,0.22,21.73,2001-05-13
"134",134,0.93,0.22,21.66,2001-05-14
"135",135,0.92,0.22,21.66,2001-05-15
"136",136,0.9,0.22,21.7,2001-05-16
"137",137,0.89,0.22,21.57,2001-05-17
"138",138,0.88,0.23,21.35,2001-05-18
"139",139,0.86,0.23,21.36,2001-05-19
"140",140,0.85,0.23,21.54,2001-05-20
"141",141,0.84,0.23,21.51,2001-05-21
"142",142,0.82,0.23,21.28,2001-05-22
"143",143,0.81,0.23,21.11,2001-05-23
"144",144,0.8,0.22,20.91,2001-05-24
"145",145,0.79,0.23,20.96,2001-05-25
"146",146,0.78,0.23,20.73,2001-05-26
"147",147,0.76,0.23,20.67,2001-05-27
"148",148,0.75,0.23,20.61,2001-05-28
"149",149,0.74,0.23,20.4,2001-05-29
"150",150,0.73,0.23,20.28,2001-05-30
"151",151,0.72,0.23,20.13,2001-05-31
"152",152,0.71,0.22,19.94,2001-06-01
"153",153,0.7,0.22,20.03,2001-06-02
"154",154,0.69,0.22,20.05,2001-06-03
"155",155,0.68,0.22,20.09,2001-06-04
"156",156,0.67,0.22,19.96,2001-06-05
"157",157,0.66,0.22,19.74,2001-06-06
"158",158,0.65,0.22,19.66,2001-06-07
"159",159,0.64,0.22,19.51,2001-06-08
"160",160,0.63,0.23,19.32,2001-06-09
"161",161,0.62,0.23,19.34,2001-06-10
"162",162,0.62,0.23,19.27,2001-06-11
"163",163,0.61,0.23,19.23,2001-06-12
"164",164,0.6,0.23,19.34,2001-06-13
"165",165,0.6,0.23,19.29,2001-06-14
"166",166,0.59,0.23,19.34,2001-06-15
"167",167,0.58,0.23,19.43,2001-06-16
"168",168,0.58,0.23,19.21,2001-06-17
"169",169,0.57,0.23,18.89,2001-06-18
"170",170,0.57,0.23,18.82,2001-06-19
"171",171,0.56,0.23,18.58,2001-06-20
"172",172,0.56,0.23,18.27,2001-06-21
"173",173,0.55,0.23,18.17,2001-06-22
"174",174,0.55,0.23,18.39,2001-06-23
"175",175,0.54,0.23,18.46,2001-06-24
"176",176,0.54,0.23,18.72,2001-06-25
"177",177,0.53,0.23,18.56,2001-06-26
"178",178,0.53,0.23,18.68,2001-06-27
"179",179,0.53,0.23,18.72,2001-06-28
"180",180,0.52,0.23,18.42,2001-06-29
"181",181,0.52,0.23,18.37,2001-06-30
"182",182,0.51,0.23,18.57,2001-07-01
"183",183,0.51,0.23,18.66,2001-07-02
"184",184,0.51,0.22,18.46,2001-07-03
"185",185,0.5,0.22,18.19,2001-07-04
"186",186,0.5,0.22,18.25,2001-07-05
"187",187,0.5,0.22,18.53,2001-07-06
"188",188,0.49,0.22,18.66,2001-07-07
"189",189,0.49,0.22,18.41,2001-07-08
"190",190,0.48,0.22,18.42,2001-07-09
"191",191,0.48,0.22,18.28,2001-07-10
"192",192,0.47,0.22,18.29,2001-07-11
"193",193,0.47,0.22,18.57,2001-07-12
